© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Leukocyte Extravasation Signaling	2.65E-01	1.94E-01	-4.644	MAP2K4,PIK3CA,MYL6,Wasl,PIK3R1,CTNNA1,CRK,PIK3R4,RHOH,TXK,CYBA,PIK3CG,CYBB,ARHGAP12,IRS2,FRS2,PRKD3,ATM,ITK,PIK3C2B,CXCR4,GRB2,ACTB,CRKL,MAPK8,RAP1A,ROCK1,ARHGAP5,GNAI3,NCF1,ITGAM,PRKCI,PRKCD,RHOA,PLCG2,FER,ARHGAP35,ITGA1,PIK3CB,ARHGAP1,ACTG1
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.65E-01	2.22E-01	NaN	PLD4,PLCB2,PI4K2A,PLCG2,PIKFYVE,PI4KB
Ceramide Degradation	2.64E-01	2.86E-01	NaN	NAAA,ASAH1
Polyamine Regulation in Colon Cancer	2.63E-01	2.27E-01	NaN	TCF4,MXD1,PSME4,KRAS,ODC1
CCR5 Signaling in Macrophages	2.61E-01	2E-01	-3.162	CD247,MAP2K4,CCR5,Calm1 (includes others),CD3E,GNG2,RACK1,MAPK8,CD3D,GNG10,CD3G,GNAI3,FOS,PRKCI,PLCG2,PRKCD,GNG5,PRKD3,FASLG
G-Protein Coupled Receptor Signaling	2.57E-01	1.92E-01	NaN	PLCB2,GRK2,PDE12,PIK3R1,KRAS,PIK3R4,LAMTOR3,IKBKG,CAMK2D,GNA15,PIK3CG,RGS10,RGS14,IRS2,NFKBIB,APEX1,FRS2,ATM,PIK3C2B,AKT2,RRAS,CREB3,STAT3,RAP1A,PDE8A,GRM7,NFKBID,DUSP1,PDE1B,PRKACA,PIK3CA,GNA11,PRKAG1,MPPE1,BRAF,SHC1,AKT1,PDE3B,CREB1,SOS1,CHUK,MAP2K1,ADRB2,RGS2,NRAS,GRB2,PRKAR2A,GNAQ,IKBKE,GNAI3,S1PR1,PIK3CB,ADCY7
Regulation of Actin-based Motility by Rho	2.57E-01	2E-01	-3.771	PAK4,MYL6,ARPC1B,RHOC,ARPC5L,ACTB,Wasl,PIKFYVE,RHOH,ROCK1,PAK1,ARPC1A,RHOQ,ACTR3,RHOB,RHOA,PAK2,MYL4
Dermatan Sulfate Biosynthesis	2.45E-01	2.03E-01	NaN	HS6ST1,B4GALT7,CSGALNACT2,UST,XYLT1,HS2ST1,CHST10,CHST12,DSEL,B3GAT3,CHST15,DSE
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.24E-01	2.05E-01	-2.646	TANK,NFKBID,IRF7,IKBKG,RIPK1,MAVS,IKBKE,CHUK,NFKBIB
Wnt/β-catenin Signaling	2.21E-01	1.92E-01	1.177	TCF4,TGFBR1,PPP2R2A,PPP2CA,PPP2R5B,ILK,BMPR2,Ubb,TLE1,KREMEN1,RARG,APPL1,NLK,AKT1,TGFB1,MAP4K1,GSK3B,CSNK2B,AKT2,CSNK1G3,GNAQ,MDM2,PPP2R5A,CSNK2A2,DVL2,BTRC,SOX8,LEF1,PPP2R5E,PIN1,UBC,ACVR2A,LRP1
Sertoli Cell-Sertoli Cell Junction Signaling	2.13E-01	1.91E-01	NaN	MAP2K4,TUBA1B,ILK,CTNNA1,KRAS,TUBB,PRKAG1,PTEN,MPP6,TJAP1,AKT1,SPTB,TUBA1C,TUBB4A,GSK3B,MAP2K1,RAB8B,MAP3K2,MAP3K9,AKT2,NRAS,RRAS,TJP1,ACTB,MAP3K1,TUBG1,TUBA4A,MAPK8,PRKAR2A,MAP3K12,TUBA1A,PRKACA,ELK1,ACTG1
Fatty Acid Activation	2.12E-01	2.31E-01	NaN	ACSL3,SLC27A4,ACSL1
Oleate Biosynthesis II (Animals)	2.12E-01	2.31E-01	NaN	UFSP2,CYB5A,FADS1
Circadian Rhythm Signaling	2.12E-01	2.06E-01	NaN	PER3,GRIN1,PER1,CRY2,BHLHE40,CREB3,CREB1
Bladder Cancer Signaling	2.08E-01	1.93E-01	-2.236	DAPK1,NRAS,TFDP1,PA2G4,RRAS,SUV39H1,CDK4,VEGFB,MDM2,KRAS,RPS6KA5,SIN3A,VEGFA,THBS1,CDKN1A,MAP2K1,RASSF1
NADH Repair	2.08E-01	3.33E-01	NaN	NAXE
1,25-dihydroxyvitamin D3 Biosynthesis	2.08E-01	3.33E-01	NaN	POR
Glutathione Biosynthesis	2.08E-01	3.33E-01	NaN	GCLC
Tetrahydrobiopterin Biosynthesis I	2.08E-01	3.33E-01	NaN	GCH1
Methionine Salvage II (Mammalian)	2.08E-01	3.33E-01	NaN	MTR
Inosine-5'-phosphate Biosynthesis II	2.08E-01	3.33E-01	NaN	ADSL
4-hydroxyproline Degradation I	2.08E-01	3.33E-01	NaN	GOT2
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	2.08E-01	3.33E-01	NaN	IPPK
Tetrahydrobiopterin Biosynthesis II	2.08E-01	3.33E-01	NaN	GCH1
S-adenosyl-L-methionine Biosynthesis	2.08E-01	3.33E-01	NaN	MAT2A
L-serine Degradation	2.08E-01	3.33E-01	NaN	SRR
N-acetylglucosamine Degradation I	2.08E-01	3.33E-01	NaN	GNPDA2
Glutathione Redox Reactions I	2.06E-01	2.08E-01	NaN	GSR,GSTZ1,GSTM1,GPX4,GSTP1
MIF-mediated Glucocorticoid Regulation	1.97E-01	2E-01	-1.633	NFKBID,MIF,IKBKG,PLA2G2D,PTGS2,CD74,NFKBIB
Ubiquinol-10 Biosynthesis (Eukaryotic)	1.96E-01	2.11E-01	NaN	GADL1,COQ2,ECHDC1,MICAL3
Acute Phase Response Signaling	1.96E-01	1.88E-01	-3.053	MAP2K4,SOCS3,PIK3CA,TCF4,PIK3R1,SOCS6,KRAS,JAK2,SHC1,HMOX1,IKBKG,AKT1,PIK3CG,SOS1,CHUK,NFKBIB,TNFRSF1B,MAP2K1,IL1RAP,AKT2,NRAS,RRAS,GRB2,MAP3K1,MAPK8,IKBKE,STAT3,FOS,NFKBID,RIPK1,PIK3CB,ELK1
Crosstalk between Dendritic Cells and Natural Killer Cells	1.96E-01	1.91E-01	NaN	IFNG,IL3RA,KLRD1,HLA-A,ACTB,CD69,TNFSF10,HLA-G,CD28,PRF1,CAMK2D,FSCN1,TNFRSF1B,HLA-F,ACTG1,CCR7,FASLG
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	1.94E-01	1.96E-01	NaN	FAM208A,AQR,SPP1,ETS2,TDRD7,JARID2,PHC3,BRCA1,ASH2L
Sonic Hedgehog Signaling	1.91E-01	2E-01	1.633	GRK2,SUFU,PRKAR2A,PRKACA,GSK3B,PRKAG1
Regulation of Cellular Mechanics by Calpain Protease	1.91E-01	1.93E-01	-1.000	CCNA2,CCNE1,CAPNS1,NRAS,RRAS,GRB2,CAPN1,CDK4,KRAS,CAST,CDKN1B
tRNA Splicing	1.87E-01	1.95E-01	NaN	PDE8A,PDE3B,TSEN54,PDE12,PDE1B,TSEN2,APEX1,MPPE1
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.81E-01	2E-01	NaN	MAP2K4,SOCS3,MAPK8,JAK2,STAT3
Ethanol Degradation IV	1.81E-01	2E-01	NaN	ACSS2,CAT,ACSS1,ACSL1,ALDH7A1
GP6 Signaling Pathway	1.77E-01	1.87E-01	-2.600	PIK3CA,Calm1 (includes others),PIK3R1,COL9A3,COL4A2,PIK3R4,LAMC1,AKT1,PIK3CG,IRS2,GSK3B,FRS2,PRKD3,ATM,PIK3C2B,AKT2,COL4A1,GRB2,COL20A1,PRKCI,SYK,PLCG2,PRKCD,ADAM10,PIK3CB
Autoimmune Thyroid Disease Signaling	1.76E-01	1.91E-01	NaN	HLA-G,CD28,PRF1,IL10,HLA-A,HLA-DQA1,HLA-DQB1,HLA-F,FASLG
Cardiac β-adrenergic Signaling	1.72E-01	1.86E-01	-1.000	AKAP12,GRK2,PPP2CA,PPP2R2A,PDE12,PPP2R5B,RACK1,PRKAG1,AKAP11,MPPE1,AKAP2,PDE3B,GNG5,APEX1,GRK3,GNG2,PRKAR2A,PPP1R11,PPP2R5A,GNG10,PDE8A,PDE1B,AKAP10,PRKACA,PPP2R5E,ADCY7
Prostanoid Biosynthesis	1.72E-01	2.22E-01	NaN	PTGES2,PTGS2
Cardiomyocyte Differentiation via BMP Receptors	1.72E-01	2E-01	NaN	BMPR1A,BMPR2,BMP7,MEF2C
The Visual Cycle	1.72E-01	2E-01	NaN	DHRS3,DHRS9,RDH11,RDH14
TREM1 Signaling	1.67E-01	1.87E-01	-3.207	SIGIRR,AKT2,Naip1 (includes others),IL10,GRB2,JAK2,STAT3,FCGR2B,CXCL3,AKT1,NLRC3,PLCG2,TLR1,CASP1
Graft-versus-Host Disease Signaling	1.61E-01	1.88E-01	NaN	HLA-G,IFNG,CD28,PRF1,HLA-A,HLA-DQA1,HLA-DQB1,HLA-F,FASLG
Ethanol Degradation II	1.61E-01	1.89E-01	NaN	HSD17B10,DHRS9,RDH14,ACSS2,ACSS1,ACSL1,ALDH7A1
Factors Promoting Cardiogenesis in Vertebrates	1.61E-01	1.85E-01	NaN	CCNE2,TCF4,TGFBR1,BMPR2,CCNE1,PRKCI,TGFB1,BMPR1A,PRKCD,BMP7,LEF1,MEF2C,GSK3B,PRKD3,SMAD1,LRP1,ACVR2A
Gluconeogenesis I	1.61E-01	1.92E-01	NaN	PGK1,ME2,ALDOA,MDH1,BPGM
Branched-chain α-keto acid Dehydrogenase Complex	1.49E-01	2.5E-01	NaN	DLD
Methylmalonyl Pathway	1.49E-01	2.5E-01	NaN	MUT
Proline Biosynthesis I	1.49E-01	2.5E-01	NaN	PYCR2
N-acetylglucosamine Degradation II	1.49E-01	2.5E-01	NaN	GNPDA2
Molybdenum Cofactor Biosynthesis	1.49E-01	2.5E-01	NaN	GPHN
Oxidative Ethanol Degradation III	1.49E-01	1.9E-01	NaN	ACSS2,ACSS1,ACSL1,ALDH7A1
Parkinson's Signaling	1.28E-01	1.88E-01	NaN	CASP3,MAPK8,CYCS
Trehalose Degradation II (Trehalase)	9.66E-02	2E-01	NaN	HK2
Creatine-phosphate Biosynthesis	9.66E-02	2E-01	NaN	CKB
2-ketoglutarate Dehydrogenase Complex	9.66E-02	2E-01	NaN	DLD
Serine Biosynthesis	9.66E-02	2E-01	NaN	PSAT1
Tetrapyrrole Biosynthesis II	9.66E-02	2E-01	NaN	ALAS1
Tyrosine Degradation I	9.66E-02	2E-01	NaN	GSTZ1
