© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target molecules in dataset	Mechanistic Network	
MKL1	-1.355	transcription regulator	 	1.463	 	2.12E-03	CDKN2A,CXCR4,EGR1,FABP3,FOS,GP1BA,GSTM5,HLA-A,MGST2,MMP9,PRG3,RAB27B,SLPI,TUBB1	159 (13)	
TREM1	 	transmembrane receptor	 	1.634	bias	1.17E-03	ATF3,CD274,CXCR4,EGR1,EGR3,ELOVL7,ETS2,FABP3,FFAR2,GADD45B,IFNG,MAFF,NR4A2,PPARG,RGS1,S1PR3,SFMBT2,TIFA,TNF	261 (21)	
EPAS1	4.337	transcription regulator	 	0.948	bias	1.66E-03	ABCG2,BHLHE40,BNIP3,COL10A1,CXCR4,FOS,GADD45B,GALR2,HIST1H2AC,HSPA5,IRS2,ITGA2B,MAFF,NAMPT,NFIL3,PPARG,SLC40A1,TNFAIP3,VEGFA	201 (12)	
STX11	-1.171	transporter	 	 	 	1.76E-02	IFNG,TNF	 	
TNFSF14	1.051	cytokine	 	-0.395	bias	1.05E-02	CD40,CDH1,IFNG,MMP9,TNF	 	
MSN	1.378	other	 	 	 	4.38E-02	CDKN2A	 	
GIP	 	other	 	 	 	3.07E-02	FOS,RGS2,TNF	 	
CD8A	3.254	other	 	 	 	4.51E-02	IFNG,TNF	 	
REL	1.726	transcription regulator	 	-1.463	bias	2.59E-10	AHR,CACNA1E,CCR8,CD200,CD40,CD80,CDH1,CIITA,CR2,CREM,DNASE1L1,ENDOG,ESR1,FBXL4,FOS,GADD45B,HLA-A,IFIT1B,IFNG,IFT74,IL18,IRF6,KCNK6,MMP9,NFKBID,NR4A1,NR4A3,PFKM,PLK2,PPP1R15A,SCN11A,TNF,TNFAIP3,Tnfrsf22/Tnfrsf23,TNFSF13B	271 (19)	
C1QBP	1.405	transcription regulator	 	 	 	3.07E-02	IFNG,MT-CO1,MT-CO2	 	
PRKAA1	2.684	kinase	 	0.464	bias	3.74E-03	ATF3,CAMKK1,CHGB,IFNG,KCNA2,MMP9,MT-CO1,SOCS3,TNF,TTYH1,ZFP36L1	263 (23)	
S100B	 	other	 	 	 	4.19E-02	CHGB,FOS,TNF	 	
TNFRSF8	-147.748	transmembrane receptor	 	1.071	 	4.96E-03	CXCR4,IFNG,JUNB,ODC1,PFKM,TNF,TNFRSF25,TNFRSF8	229 (19)	
CD81	-599.036	other	 	 	 	1.43E-02	CD19,CD80,IFNG,TNF	 	
PRL	 	cytokine	 	1.069	bias	1.76E-02	ABCG2,CD40,CD69,CDH1,EGR1,ERBB2,ESR1,FOS,HELZ2,ID3,Meg3,MEN1,OAS1,ODC1,PENK,RPSA,SOCS3,TIMP2,TNF,TNFSF13B	 	
Msx3	 	transcription regulator	 	 	 	2.56E-02	PPARG,TNF	 	
SOX4	 	transcription regulator	 	-1.479	bias	6.81E-03	BCAR3,BLK,DBNDD2,FFAR2,FOS,KYNU,LRRN3,MAGI1,MGST2,PTK2,PYGL,RNF144A,SNN,TENM4,TMEM255A,TUBB2B	 	
CD200	-119.943	other	 	 	 	1.21E-02	CD80,IFNG,IL4R,TNF	 	
PLCG1	1.184	enzyme	 	 	 	1.73E-02	EGR1,FOS,IFNG	 	
MKI67	-1.531	other	 	 	 	4.38E-02	CDH1	 	
WNT1	 	cytokine	 	0.102	bias	1.59E-03	CDH1,CDKN2A,EEF1A1,EGR1,ENPP2,ETS2,FOS,IGF1R,JUNB,NOTCH4,PPARG,RARB,TJP1,TLE1	241 (18)	
ITGA5	 	transmembrane receptor	 	-0.917	bias	4.65E-03	CD40,ENPP2,ERBB2,FOS,JUNB,MMP9,TNF	289 (22)	
JUNB	9.488	transcription regulator	 	-0.310	bias	1.08E-03	ATF3,C3,CD274,CDKN2A,DUSP1,HPGD,JUNB,LIPE,MMP9,PENK,SCD,SYT1,TNF,TNFRSF8	220 (19)	
CD244	-1.383	transmembrane receptor	 	1.927	bias	2.23E-04	EGR1,FOS,IFNG,TNF	226 (23)	
F2R	2.268	g-protein coupled receptor	 	1.805	bias	2.81E-04	CDH1,DSP,DUSP1,EGR1,EGR3,ESR1,FOS,MMP9,NR4A1,TFPI,TJP1,TNFAIP3,VEGFA	257 (18)	
MST1	 	growth factor	 	1.067	bias	2.78E-03	FOS,IL15,IL18,PTK2,TNF	186 (15)	
PPARG	-114.269	ligand-dependent nuclear receptor	 	-0.746	 	1.44E-03	Abcb1b,ABCG2,APH1A,C3,CD40,CDH1,CR2,FABP3,HEBP1,IFNG,IRS1,IRS2,KLF4,KLF6,LIPE,MCTP1,MMP9,MTTP,NR1H3,NR4A1,ODC1,PLIN4,PPARG,PYGL,RARB,RGL1,RPSA,SCD,SLC27A1,SLC44A1,SOCS3,TJP1,TNF,VAMP5,VEGFA	258 (22)	
CD6	-1.151	transmembrane receptor	 	 	 	1.76E-02	IFNG,TNF	 	
NREP	 	other	 	 	 	2.57E-02	ITGA3,MMP9,VEGFA	 	
MSR1	 	transmembrane receptor	 	 	 	4.82E-02	IFIT1B,MMP9,TNF	 	
NAMPT	5.432	cytokine	 	0.365	bias	3.39E-03	MMP9,NAMPT,NAT1,TFPI,TNF	188 (17)	
ITSN2	-1.247	other	 	 	 	4.38E-02	CDKN2A	 	
PRKAA2	 	kinase	 	0.493	bias	8.31E-03	CAMKK1,CDH1,CHGB,EGR1,HSPA5,KCNA2,MMP9,MT-CO1,PPARG,TTYH1,ZFP36L1	251 (21)	
AGT	 	growth factor	 	0.329	bias	8.08E-05	ADAM23,ANXA1,ARHGEF9,ATF3,CDKN2A,COL11A2,CREM,CYP17A1,DUSP1,EGR1,ELMSAN1,FOS,GCH1,GSTM5,HSPA1A/HSPA1B,Hspa1b,ID3,IGF1R,IL15,IL18,ITPKB,JAG1,KL,MATN2,MMP9,NAMPT,NOTCH4,NR4A1,NR4A2,PALLD,PPARG,RGS2,SNCA,SOCS3,TFPI,TJP1,TNF,VEGFA	299 (19)	
A2M	 	transporter	 	1.484	bias	1.32E-02	CDH1,GADD45B,HSPA5,PPP1R15A,SLC40A1,TNF	 	
IL11	 	cytokine	 	1.942	 	2.58E-03	CD40,FOS,GP1BA,IL15,IL18,JUNB,PPARG,SOCS3	209 (22)	
RIDA	6.946	enzyme	 	 	 	1.76E-02	IFNG,TNF	 	
IRF8	-1.703	transcription regulator	 	0.216	bias	1.78E-06	ATF3,BANK1,CD40,CD80,CIITA,CREM,CSF3R,EGR1,FOS,ID3,IFIT1B,IFNG,IL15,IL18,KLF4,KLF6,MMP9,OAS1,TNF,TNFSF13B	243 (16)	
APLN	 	other	 	-1.012	bias	2.82E-03	ALAS2,EGR1,FOS,HBA1/HBA2,IFNG,IRS1,ITGA2B	209 (18)	
STAT4	1.462	transcription regulator	 	1.143	bias	3.82E-02	C3,Cyp2d22,FSCN1,GCNT2,Hspa1b,IFIT1B,IFNG,ISG20,KDM6B,PER1,PYGL,SELENBP1,SOCS3,TNF,TUBB2B,VEGFA	 	
GDF2	 	growth factor	 	0.103	bias	1.59E-02	ABCG2,CXCR4,ENPP2,FOS,GADD45B,ID3,MMP9,SERPINF1,SLC3A2	 	
SHC1	-1.325	other	 	-1.941	 	2.11E-01	CD69,DAPL1,EGR1,FOS	 	
JAK1	-1.048	kinase	 	0.970	bias	1.30E-02	CD40,FOS,HLA-A,HLA-F,IL4R,SOCS3,TNF	 	
FGF4	 	growth factor	 	-0.152	bias	1.43E-02	FOS,JAG1,SCD,VEGFA	 	
DUSP10	5.077	phosphatase	 	 	 	2.56E-02	IFNG,TNF	 	
HNRNPC	1.397	other	 	 	 	2.57E-03	CD40,CD80,HBB	 	
MAP2K1	1.768	kinase	 	0.778	bias	9.44E-05	AHR,ATF3,CALCB,CAPN3,CD274,CDKN2A,CYP17A1,DUSP1,DUSP5,FOS,HSPA5,IGF1R,IRS1,ITGA2B,MMP9,PLA2G4A,RAP2B,TNF,UBC,VEGFA	285 (22)	
CTF1	 	cytokine	 	0.700	 	1.68E-03	FOS,IRS1,JUNB,PPARG,SOCS3,TNF	277 (27)	
COL2A1	 	other	 	 	 	3.07E-02	CXCR4,IFNG,TNF	 	
POLR2A	1.566	enzyme	 	 	 	1.43E-02	CXCR4,FOS,KLK3,MAGI1,MYBL2,TNFAIP3,VEGFA	 	
TNFRSF13C	1.310	transmembrane receptor	 	 	 	4.19E-02	CR2,IFNG,TNFSF13B	 	
ZBTB16	-2.810	transcription regulator	 	-1.257	 	3.41E-03	Cd24a,CD274,CD81,CD8A,GP1BA,ID3,IL4R,IRF6,LY96,MMP9,NFKBIZ,SLAMF6,TNF,TNFRSF25	 	
CIITA	-412.869	transcription regulator	 	 	 	2.18E-02	GCNT2,HLA-A,HLA-DMB,HLA-DOB,MMP9	 	
FGF13	1.509	growth factor	 	 	 	1.76E-02	MMP9,VEGFA	 	
NGF	 	growth factor	 	0.837	bias	6.28E-07	ATF3,CALCB,CD40,CD80,CDH1,CDKN2A,CHGB,DPYSL5,DUSP1,EEF1A1,EGR1,FOS,FOSL2,GUCY1A3,JUNB,KLK3,MMP9,MT-CO1,NR4A1,PLA2G4A,PPARG,SH3RF1,SLC40A1,TNF,VEGFA	206 (19)	
EXOC8	-1.460	other	 	 	 	4.38E-02	CDH1	 	
ISL1	 	transcription regulator	 	1.980	 	5.33E-01	DLG2,IFNG,LILRB3,TNF	 	
NOTCH1	1.342	transcription regulator	 	-0.469	 	2.83E-02	CDH1,CSF2RB,ERBB2,ESM1,FOS,FOSB,HBA1/HBA2,IFNG,IGF1R,IL18,ITGA2B,JAG1,MCAM,MYCL,PPARG,TNF,TSPAN33,VEGFA	 	
ULBP2	 	transmembrane receptor	 	 	 	3.48E-02	IFNG,TNF	 	
KIFAP3	-1.256	other	 	 	 	4.38E-02	FOS	 	
ARHGDIG	7.483	other	 	1.000	bias	6.85E-03	ANXA1,OXLD1,PALLD,RGS2	 	
CELA2A	 	peptidase	 	 	 	1.09E-02	CDKN2A,SLPI	 	
FOXN1	 	transcription regulator	 	 	 	7.99E-03	CD274,MREG,PPP1R16B	 	
TRPM2	-4.499	ion channel	 	1.000	 	2.22E-02	BNIP3,IFNG,TNF,VEGFA	 	
H2AFZ	1.859	other	 	 	 	1.21E-02	CD69,CXCR4,PPARG,TTR	 	
CELA1	-85.742	peptidase	 	 	 	1.92E-03	HLA-A,HSPA1A/HSPA1B	 	
PTP4A3	1.183	phosphatase	 	 	 	4.82E-02	CDH1,HSP90AA1,IGF1R	 	
MORF4L2	3.601	other	 	 	 	4.38E-02	MYBL2	 	
IL10	3.513	cytokine	 	0.601	 	6.36E-04	CCR8,Cd24a,CD274,CD40,CD80,CEACAM1,CIITA,CSF2RB,CTLA4,CXCR4,DUSP1,EHF,ETS2,FCGR3A/FCGR3B,FOS,HPGD,HTATIP2,IFNG,IL18,IL1R2,IL4R,MMP9,NFKBID,NR4A3,SOCS3,TLR8,TNF,TNFSF13B,VCAN,VEGFA	222 (16)	
IL27	 	cytokine	 	-0.010	bias	5.34E-04	AHR,CD80,CIITA,CTLA4,EGR1,FOS,HLA-A,HLA-DMB,HLA-DOB,HPGD,IFNG,IL18,SOCS3,TNF,TNFSF13B	210 (16)	
AGR2	 	other	 	 	 	2.57E-03	CDKN2A,EGR1,FOS	 	
ITCH	2.357	enzyme	 	 	 	4.82E-02	FOS,IFNG,TNF	 	
CD96	1.405	other	 	 	 	4.38E-02	IFNG	 	
CDK9	1.579	kinase	 	-0.277	bias	8.73E-05	CD80,CXCR4,FOS,HIST1H2AC,MAGI1,MMP9,MYBL2,ODC1,PPARG,TNFAIP3	251 (16)	
HOXA10	 	transcription regulator	 	1.897	 	1.63E-01	ALAS2,CSF3R,ENPP2,HSP90AA1,LINC02581,NR4A1,RP2,SCD,SLC27A1,TDO2,TNFSF13B	 	
TAF4	-1.148	transcription regulator	 	1.000	bias	4.61E-02	CDH1,EHF,IFIT1B,KLF4,MAFF,OAS1,PENK,TGM1	 	
ETV4	 	transcription regulator	 	-1.709	bias	2.00E-03	CDH1,CDKN2A,ERBB2,GGT1,HPGD,MMP9	190 (7)	
TLR4	-21.984	transmembrane receptor	 	-0.064	bias	1.84E-05	ATF3,C3,CD200,CD274,CD40,CD80,CDH1,CERS6,DUSP2,HELZ2,HHEX,HSPA5,IFIT1B,IFNG,IL15,IL18,IRAK3,ISG20,JAG1,MARCO,MMP9,NFKBID,NFKBIZ,NR4A1,NR4A2,NR4A3,PLK2,PPARG,RGS1,SLC7A11,SLFN12L,SOCS3,TNF,TNFAIP3,TSPAN33	226 (16)	
GPER1	 	g-protein coupled receptor	 	0.749	bias	1.01E-02	EGR1,ESR1,FOS,HSPA5	 	
GLI3	 	transcription regulator	 	-0.788	 	3.53E-05	CD69,DUSP1,DUSP2,DUSP5,EBF1,EGR1,FOSB,JUNB,NFKBID,NFKBIZ,PAX5,TNFAIP3	 	
HIF1A	1.272	transcription regulator	 	1.146	bias	1.90E-02	BHLHE40,BNIP3,CD274,CDH1,CDKN2A,CXCR4,DNASE1,ERBB2,FOS,FSCN1,GADD45B,HIST1H2AC,HSPA5,IFNG,IL15,IRS2,ITGA2B,MAFF,MMP9,NR4A1,NR4A3,PFKFB4,SLC40A1,SOCS3,TMEM19,TNF,VEGFA	 	
DLX4	 	transcription regulator	 	 	 	2.56E-02	HBB,VEGFA	 	
CHRM1	 	g-protein coupled receptor	 	 	 	1.73E-02	EGR1,EGR3,FOS	 	
LOXL2	 	enzyme	 	 	 	1.37E-02	CDH1,ESR1,MMP9	 	
IL5	 	cytokine	 	-1.811	bias	2.75E-08	BNIP3,CCR3,CD40,CD69,CD79A,CEACAM1,CIITA,CKAP4,CSF2RB,CSF3R,CXCR4,DRC1,DUSP5,EGR1,EGR3,ENDOG,FOSL2,GALK1,GSTT2/GSTT2B,HEPACAM2,HSPA5,IFNG,IL13RA1,IL1R2,IL4R,ITGAD,JCHAIN,MMP9,NABP1,NFIL3,PAX5,PRDX4,TNF,TNFRSF8,TUBB2B	231 (18)	
CXCL5	 	cytokine	 	 	 	2.56E-02	CDH1,TNF	 	
MED7	-91.757	transcription regulator	 	 	 	4.38E-02	TNFAIP3	 	
KRT1	 	other	 	 	 	4.38E-02	IL18	 	
PPY	 	other	 	 	 	4.38E-02	FOS	 	
UBP1	1.454	transcription regulator	 	 	 	1.52E-03	CD40,CD79A,GRHL1	 	
ITGB1	1.858	transmembrane receptor	 	0.703	 	4.96E-04	CDH1,CDKN2A,ERBB2,FOS,IFNG,JUNB,MMP9,PTK2,TIMP2,TNF,TNFAIP3,VEGFA	199 (20)	
IKBKB	1.491	kinase	 	1.216	bias	2.42E-04	ATF3,C3,CCR3,CDH1,CXCR4,EGR1,ENPP2,FOS,FSCN1,GCH1,HLA-A,IFIT1B,IFNG,IL17C,JUNB,KIF20A,LIPE,MMP9,PLA2G4A,POU2AF1,SLC16A2,SOCS3,TIMP2,TNF,VCAN,VEGFA	271 (16)	
ID1	 	transcription regulator	 	0.571	 	7.30E-03	CDKN2A,CEACAM1,DTX4,EGR1,MMP9,PTK2,SCD,TNF	193 (18)	
UCHL1	-2.184	peptidase	 	0.378	 	1.84E-02	CLCN2,FCRL1,JMY,PFKM,PLA2G4A,TRIM2,ZC4H2	 	
CEBPA	1.764	transcription regulator	 	0.151	bias	2.84E-04	Abcb1b,ANPEP,ANXA1,C3,CD19,CDH1,CKAP4,COL10A1,CSF3R,CXCR4,EVPL,EXTL2,FOS,GCH1,HPGD,HSPA5,IRF6,IRS1,IRS2,JUNB,KLF4,MT-CO1,MYBL2,NFIL3,NR4A2,PAX5,PPARG,PPP1R14A,RGS2,SBSN,SCD,SEMA3E,SERPINF1,SOCS3,VCAN,ZNF296	246 (16)	
PROK2	 	other	 	 	 	2.56E-02	FOS,VEGFA	 	
FKBP4	1.663	enzyme	 	0.581	 	5.52E-03	C3,CEACAM1,PPARG,TNF	228 (13)	
IDH1	1.266	enzyme	 	 	 	1.95E-02	CDH1,COL10A1,EGR1,PPARG,PPP1R15A	 	
ALOX5	 	enzyme	 	-1.067	 	4.98E-02	ATP6V0D2,HSP90AA1,MMP9,TNF	 	
U1 snRNP	 	complex	 	 	 	4.51E-02	IFNG,TNF	 	
TFAP4	1.309	transcription regulator	 	0.094	 	2.68E-02	CDH1,CDKN2A,EGR1,FOS,MLF1	 	
EZR	1.147	other	 	-0.988	 	4.98E-02	ATF3,CDH1,MMP9,TNF	 	
IFNAR1	3.054	transmembrane receptor	 	-0.166	bias	5.53E-05	ATF3,BCL2L14,CD40,CIITA,HLA-A,IFIT1B,IFNG,IFT57,IL15,IL18,OAS1,PLA2G7,RTP4,SLFN12L,SOCS3,TNF,TNFAIP3,TNFSF13B	202 (15)	
SEMA4D	1.278	transmembrane receptor	 	 	 	4.51E-02	CD40,CD80	 	
TRAF2	-3.633	enzyme	 	-0.272	 	2.29E-04	CD80,CDKN2A,CR2,FFAR2,IFNG,MMP9,PPFIBP2,PRNP,PTPN14,PYGL,TNF,TNFAIP3	177 (14)	
F11R	1.980	other	 	 	 	4.38E-02	CDH1	 	
IL10RA	1.339	transmembrane receptor	 	-0.824	 	3.14E-07	BNIP3,C3,Cd24a,CD40,CD69,CELA1,CLEC12A,CLEC9A,CSF3R,CSRP2,CTLA4,EHF,GBP6,GSTM5,HEPACAM2,HLA-A,HPGD,HSPA8,IFNG,KLK3,NAMPT,NR1H3,PYGL,SELENBP1,SERPINB9,SLAMF6,SLC7A11,SOCS3,SPON1,Sult1a1,Tlr11,TNF,Treml4,TTR,ZBP1	161 (11)	
PHLPP1	1.128	enzyme	 	 	 	3.60E-02	IL15,IL18,IRS1	 	
MTOR	1.994	kinase	 	1.351	 	3.47E-02	BNIP3,CD274,CD40,CDH1,CXCR4,CYP17A1,GSTM5,HBA1/HBA2,IFNG,IL4R,IRS1,IRS2,MMP9,MT-CO1,OAS1,PPARG,SOCS3,TNF,TNFRSF25,TRADD,VEGFA	 	
Inhibin	 	complex	 	 	 	3.48E-02	CYP17A1,IFNG	 	
CXCL10	13.963	cytokine	 	0.807	bias	2.22E-02	FOS,IFNG,MMP9,TNF	 	
PRF1	-1.741	transporter	 	 	 	2.57E-02	IFNG,IL18,TNF	 	
EDN3	 	other	 	0.200	 	1.81E-03	CDH1,CDKN2A,EGR1,FOS,MCAM	273 (22)	
TSC22D3	6.781	transcription regulator	 	0.692	 	1.46E-02	ANXA1,CD80,DUSP1,EGR3,PPARG,TNF	 	
HAMP	 	other	 	 	 	1.76E-02	SLC40A1,TNF	 	
CD33	 	other	 	 	 	2.56E-02	IFNG,TNF	 	
KCNIP2	1.873	other	 	 	 	1.52E-03	CREM,FOSB,IFNG	121 (7)	
TPM3	1.294	other	 	 	 	5.78E-03	ITGA3,TNFRSF25,VEGFA	 	
Il3	 	cytokine	 	1.438	 	3.80E-02	ANPEP,ATF5,BHLHE40,CSF3R,EGR1,FOS,NFIL3	 	
RUNX1	1.311	transcription regulator	 	-1.533	 	3.21E-02	BLK,CD79A,CDKN2A,CSF2RB,CTLA4,FSCN1,HBA1/HBA2,IFNG,ITGA2B,LMO1,NFIL3,NR4A3,TJP1,VEGFA	 	
RHEB	2.850	enzyme	 	 	 	2.56E-02	IRS1,IRS2	 	
Slpi (includes others)	 	other	 	 	 	4.38E-02	TNF	 	
HMGN1	1.445	transcription regulator	 	 	 	6.78E-03	CSF2RB,FOS,FOSB,GP2,TTR	 	
CR1	 	transmembrane receptor	 	 	 	2.56E-02	C3,IFNG	 	
LIMS1	3.700	other	 	 	 	4.51E-02	PARVA,TJP1	 	
Cd24a	-16.648	other	 	 	 	1.09E-02	IFNG,TNF	 	
IL3	 	cytokine	 	1.859	bias	1.90E-04	ADA,ATF5,CCR3,CD40,CD69,CD80,CREM,CTLA4,CXCR4,EEF1A1,EGR1,EGR3,FOS,FOSL2,GADD45B,GNAO1,GP1BA,HBA1/HBA2,HLA-A,HSPA5,JCHAIN,JUNB,ODC1,PLA2G7,SLC3A2,SOCS3,TNF,TNFSF4,Ubb,VEGFA	219 (19)	
TRIM16	 	transcription regulator	 	 	 	4.38E-02	RARB	 	
TAC4	 	other	 	 	 	2.13E-02	CD80,IFNG,TNF	 	
MAPT	 	other	 	-0.970	 	4.72E-03	ABCG2,AIF1,AMPH,C3,FOS,GNAO1,GPM6B,GSTM5,HBA1/HBA2,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,IFNG,MAP6,PENK,PRNP,SNCA,TNF,TUBB2B,UBC	248 (20)	
RASSF1	1.292	other	 	1.970	 	1.70E-02	BHLHE40,CXCR4,EGR1,ESR1,FOS,KLF4,PLK2,TUBB1,TUBB2B	 	
LGALS1	1.542	other	 	1.791	bias	2.14E-02	AHR,CD69,CTLA4,IFNG,MMP9,TNF	 	
VEGFA	159.578	growth factor	 	1.074	bias	1.04E-03	ANPEP,CD40,CD80,CDKN2A,CEACAM1,CTLA4,CXCR4,DUSP5,EGR1,ETS2,FOS,FOSB,HSPA5,ID3,IFNG,JUNB,KLRG1,MMP9,NOTCH4,NR4A1,NR4A2,PTK2,RASGRP3,TNF,VEGFA	227 (21)	
CBX2	-60.224	transcription regulator	 	 	 	2.13E-02	AHR,CDKN2A,HBB	 	
IRF4	5.051	transcription regulator	 	-1.108	bias	5.27E-03	ADA,BNIP3,CDKN2A,CIITA,CTLA4,CXCR4,HSPA8,IFNG,OAS1,PAX5,TNF,TNFRSF8,TNFSF13B,ZFP36L1	244 (17)	
IFNK	 	cytokine	 	0.371	bias	2.78E-03	CD40,CD80,IFNG,OAS1,ZBP1	197 (13)	
MMP9	-54.379	peptidase	 	0.198	 	5.72E-04	CALCB,CDH1,CXCR4,FOS,HPGD,IFNG,JAG1,MMP9,TJP1,TNF,VEGFA	285 (22)	
WNT5A	 	cytokine	 	0.064	 	2.90E-03	CD40,CD80,CDH1,CXCR4,ENPP2,ERBB2,ESR1,ID3,IFNG,IL15,SOCS3,TNF,VEGFA	228 (16)	
TNF-kinoid	 	biologic drug	 	 	 	4.38E-02	CTLA4	 	
IL4	 	cytokine	 	-1.420	bias	5.05E-06	AHR,APH1A,ARMC6,BCL11A,BHLHE40,BNIP3,C3,CCR3,CCR8,CD200,Cd24a,CD274,CD40,CD69,CD79A,CD80,CD8A,CHST3,CIITA,CR2,CSF2RB,CSF3R,CXCR4,DENND4A,FCGR3A/FCGR3B,FOS,FOSB,GATM,GPM6B,GSTT2/GSTT2B,HPGD,HSPA1A/HSPA1B,IFIT1B,IFNG,IGF1R,IL13RA1,IL15,IL18,IL1R2,IL1RL2,IL4R,ISG20,JAG1,JCHAIN,JUNB,KLF6,KLK3,LRRC32,MARCO,MMP9,NABP1,NFIL3,NR4A3,PAX5,POU2AF1,PPARG,PRNP,SAMD4A,SOCS3,SSSCA1,TIMP2,TLE1,TNF,TNFSF18,TNFSF4,VEGFA,VIPR1	208 (18)	
CHUK	-1.421	kinase	 	1.308	bias	2.19E-03	ATF3,C3,ENPP2,FOS,GADD45B,GCH1,HLA-A,HSP90AA1,IFIT1B,IFNG,JUNB,MMP9,PLA2G4A,SLC16A2,SOCS3,TNF,TNFAIP3,TNFSF13B,VEGFA	222 (12)	
SP1	1.962	transcription regulator	 	-0.650	bias	2.11E-04	Abcb1b,ADA,ALAS2,ATF3,CD40,CDC42BPG,CDH1,CDKN2A,CEACAM1,CENPX,Ces2c,CIITA,CR2,CREM,CXCR4,CYP17A1,EGR1,ESR1,FES,FOS,HBB,Hspa1b,HSPA5,IFNG,IGF1R,IL15,IL4R,ITGAD,KLF4,KLF6,LCAT,MMP9,MYBL2,PENK,PLA2G4A,SLC11A1,SPTB,TGM1,TIMP2,TNF,TNFAIP3,UBC,VEGFA	235 (20)	
INHBA	 	growth factor	 	-0.041	bias	2.12E-02	ACTN1,ACVR1,CDH1,CPNE8,CXCR4,CYP17A1,ESR1,ETS2,IFNG,JUNB,KLF4,MYCL,NR4A2,VEGFA,ZBTB10	 	
MC4R	 	g-protein coupled receptor	 	 	 	1.01E-02	FOS,MTTP,TNF,UBC	 	
SPP1	19.190	cytokine	 	-0.022	bias	5.53E-03	ABCG2,CDH1,DSP,ERBB2,ETS2,FOS,HTATIP2,IFNG,ITGA3,JAG1,MMP9,PPARG,SC5D,SERPINF1,TNF,VEGFA	251 (20)	
PTK2	-201.774	kinase	 	-0.530	bias	8.07E-03	DSP,FOS,IRS1,MMP9,PALLD,PTK2,TJP1	293 (23)	
IL22RA2	 	transmembrane receptor	 	 	 	2.56E-02	IFNG,SOCS3	 	
CCL18	 	cytokine	 	 	 	2.57E-03	IFNG,MMP9,TNF	 	
FOXP3	-8.150	transcription regulator	 	-0.201	 	1.29E-04	ANXA1,CTLA4,ERBB2,GPR83,HLA-A,IFNG,JMY,MMP9,NFIL3,RGS1,TNF,TNFAIP3,TTR,VEGFA	245 (17)	
CACNB4	-43.162	ion channel	 	 	 	1.09E-02	CACNB1,CACNB3	 	
FLI1	1.662	transcription regulator	 	0.655	bias	1.43E-02	EGR1,GP1BA,HBB,HSPA8,ITGA2B,RARB,VEGFA	 	
CFI	 	peptidase	 	 	 	4.38E-02	C3	 	
NR1H4	 	ligand-dependent nuclear receptor	 	-0.856	 	1.03E-02	Abcb1b,C3,CDKN2A,HSPA5,IFNG,LCAT,LIPE,MTTP,PPARG,RARB,Sult1a1,TCEA2,TIMP2,TNF	 	
DAB2IP	-34.786	other	 	 	 	3.48E-02	CDH1,EGR1	 	
CCL2	 	cytokine	 	-0.032	bias	1.56E-03	CD40,CD80,FOS,IFNG,IL15,IL18,MMP9,SLC11A1,SLC40A1,TNF	189 (18)	
CASP8	2.408	peptidase	 	0.474	 	7.48E-03	CD69,FOS,IFNG,IL18,MMP9,TNF	220 (19)	
PTPN2	1.652	phosphatase	 	 	 	4.19E-02	IFNG,NLRC4,PPP1R15A	 	
TFRC	6.368	transporter	 	-0.093	 	2.57E-04	ATF3,ATF5,BNIP3,FOS,GGT1,GSTT2/GSTT2B,HSPA5,PPARG,PPP1R15A,RGS1,SNCA,SRXN1	 	
HOXD10	 	transcription regulator	 	1.000	 	1.62E-03	CEACAM1,FCRLA,HEBP1,ITGA3,RPSA,TFPI,TGFB1I1,TIMP2,TJP1	 	
ITGA4	1.013	transmembrane receptor	 	 	 	7.99E-03	MMP9,TNF,TNFAIP3	236 (20)	
ESR2	 	ligand-dependent nuclear receptor	 	0.543	 	3.36E-05	Abcb1b,ANPEP,ATF3,ATF5,BCAT1,C3,CALCB,CDH1,CHST15,CLEC1B,CYP17A1,EGR1,EGR3,ENPP2,ESR1,FOS,HEBP1,HPGD,IGF1R,JAG1,JUNB,KLF4,KLK3,LRRN3,MYCL,PYGL,RP2,SNN,SOCS3,SRXN1,STON1,SUSD4,TENM4,TIMP2,TMIE,TNF,TNFSF13B,VEGFA	318 (19)	
PROC	 	peptidase	 	1.563	 	1.46E-02	F5,MMP9,NR4A1,TJP1,TNF,TNFAIP3	 	
CHRM3	-73.535	g-protein coupled receptor	 	-0.152	bias	9.44E-04	EGR1,FOS,ITGA3,MMP9	298 (22)	
PYCARD	-1.545	transcription regulator	 	0.076	bias	1.21E-02	IFNG,IL18,MMP9,TNF	 	
NTF3	 	growth factor	 	0.218	bias	2.22E-02	CDH1,ERBB2,FOS,PENK	 	
PRKCA	1.449	kinase	 	0.346	bias	1.64E-02	BCL11A,CIITA,EGR1,ERBB2,FOS,HSPA1A/HSPA1B,ID3,MMP9,NOTCH4,TNF,VEGFA	 	
CD7	-1.240	other	 	 	 	5.59E-03	IFNG,TNF	116 (7)	
DMC1	 	enzyme	 	 	 	4.38E-02	SPO11	 	
STRA6	 	transporter	 	 	 	3.48E-02	PPARG,SOCS3	 	
