© 2000-2018 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
PPARGC1B	1.344	transcription regulator	Inhibited	-3.221	2.41E-03	ABCA1,ACADM,ATP5J2,COX4I1,CS,CYCS,DGAT1,DHCR24,ERO1A,FDPS,GGPS1,GPAM,HK2,HMGCR,MCM4,MINOS1,MITF,MVD,MVK,VEGFA	 	
PPARA	 	ligand-dependent nuclear receptor	Inhibited	-2.666	4.70E-02	ABCA1,ABCB4,ABCD3,ACAA2,ACADM,ACAT2,ACOT2,ACOT8,ACOX1,ACSL1,ACSS2,ADAM10,AHCY,ANAPC5,APAF1,APEX1,AQP7,ASNS,AURKA,BAX,CAT,CCNA2,CCNE1,CCNT1,CDK4,CDKN1A,CHKA,COX4I1,COX6B2,CROT,CS,CYBA,CYBB,CYCS,CYP51A1,DECR2,DR1,ECI1,EHHADH,ELOVL5,ETHE1,FADS1,FDPS,FOS,G6PD,GLS,GLUD1,GOT2,GPAM,GPD2,GSTP1,GSTZ1,HACL1,HADH,HADHA,HADHB,HIST1H1C,HLA-DQA1,HMGCR,HMGCS1,Hmgn2 (includes others),HMOX1,HSD17B10,HSD17B11,HSD17B4,IDI1,IFNG,IL10,INSIG1,KIF4A,MAT2A,ME2,MSMO1,MT-CO2,MVD,MVK,NCF1,NFE2L2,NR1H3,PAQR7,PMVK,POR,PRC1,PTGS2,QPCT,SAR1A,SC5D,SLC27A4,SMC2,SORD,SREBF1,SRM,STIM1,TBX21,TDG,TERT,TJP1,TPP1,TSPO,UCHL5,VEGFA	 	
FOXO4	-4234.078	transcription regulator	Inhibited	-2.158	7.47E-06	ACLY,BCL2L11,BCL6,CCND2,CCNG2,CDKN1A,CDKN1B,CERS4,COL4A1,COL4A2,CYP51A1,DHCR24,ELOVL5,FASLG,FLNB,GADD45B,HMGCR,HMGCS1,IDI1,IER3,IL10RB,ITGAM,NAMPT,PLA2G2D,PRCP,PRKCD,PSMD11,PTPRC,RBL2,RICTOR,SELL,SGK1,SLC2A1,SPTLC2,TGFB1,VEGFA	898 (11)	
IFNL1	 	cytokine	Inhibited	-4.533	3.72E-02	ATF3,CCR7,DDX60,EIF2AK2,GPATCH11,HERC6,IFIT1,IFIT2,IFIT3,IFNG,IL10,ISG15,ISG20,OAS1,PHF11,PLSCR1,PSMB9,TDRD7,UBE2L6,USP18,ZC3HAV1	 	
IL21	79.450	cytokine	Inhibited	-5.555	1.26E-05	BCL2L11,BCL6,CASP1,CASP3,CCND2,CCR7,CD27,CD28,CD38,CD69,CDKN1A,CDKN1B,CMPK2,EGR1,EIF2AK2,FASLG,FCGR2B,GATA3,GZMA,HCST,HERC6,IFI16,IFIT1,IFIT2,IFIT3,IFNG,IL10,IL12RB2,IL18R1,IL21,IRF4,IRF5,IRF7,Irgm1,ISG15,KLRC1,KLRD1,Mx1/Mx2,PAX5,PDCD1,PRF1,PSMB9,PTPRC,RORA,SELL,Serpina3g (includes others),SLFN13,SOCS3,STAT2,STAT3,STAT4,TBX21,TGFB1,Tgtp1/Tgtp2,TIRAP,TNFRSF9,USP18	989 (13)	
CHADL	 	other	Inhibited	-2.236	1.00E00	CDKN1A,GFRA2,MEF2C,NCF1,PHEX	 	
APP	-4.904	other	Inhibited	-3.598	2.82E-09	ABCA1,ABCD3,ACTB,ACTG1,ADAP1,AIFM1,AKT1,ALDOA,AMPH,ANAPC2,APH1A,APLP2,ARF4,ARRDC3,ASCC1,ATF1,ATM,ATOX1,ATP1B1,ATP5C1,Atp5e,ATP5J,ATP6V1A,ATP6V1E1,BAX,BCL2L11,BCL2L2,C1QBP,CAMK2D,CANX,CAP1,CAPN1,CASP3,CAST,CAT,CCND2,CCNE1,CCNG2,CCR5,CD68,CD69,CD74,CDC14A,CDC27,CDK4,CDK5,CDK5R1,CKB,CLIC1,CLTA,CLTC,CMPK2,COMMD7,CPLX2,CRK,CS,CSF1R,CSNK2A2,Ctla2a/Ctla2b,CTSB,CXCL3,CXCR4,CYBB,CYCS,DPY19L3,DSTN,EGR1,ENSA,ETS2,F2RL1,FAM49A,FASLG,FBL,FBXL20,FCGR2A,FCGR2B,FOS,FOSB,Fus,GDI2,GNA12,GNG2,GOT2,GPANK1,GRB2,GRIN1,GSK3B,GSTP1,H2AFJ,H2AFV,HEATR5A,HERC6,HERPUD1,HIST1H2AD,HIST1H4I,HMGCR,HMOX1,Hnrnpa3,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,HSPD1,ICAM2,IDE,IFI16,Ifi47,IFIT2,IFNG,IGF2,IKBKG,IL10,ILK,IRF4,IRF5,IRF7,IRGM,Irgm1,IRS2,ISG20,ITGA1,ITGAM,JUNB,KCNB1,KIF2A,LATS1,LDHB,LDLR,LEF1,LGALS3,LRP1,Ly6a (includes others),MAFF,MAP1B,MAP6,MASTL,MECP2,MEF2C,MRPL10,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND5,MT-ND6,Mx1/Mx2,NAMPT,NAPG,NARS2,NCF1,NCOA3,NDUFA5,NDUFS4,NDUFS6,NF1,NME1,NR4A2,NRP1,PACSIN1,PAFAH1B2,PAK1,PARP14,PAX5,PAX6,PDK1,PDK2,PFKFB3,PGK1,PIAS1,PIK3R1,PIN1,PKP3,Pmaip1,POLR2C,PPP2CA,PRDX2,PRKACA,PRKAR2A,PRKDC,PTGS2,PTPRC,RAD9A,RAN,RCAN1,RFC4,RHOA,RNF24,ROCK1,RTP4,RUFY2,S1PR1,SAP30,Serpinb6b,SET,SHC1,SLAMF1,SLC11A2,SLC25A38,SLC7A11,SLFN13,SLFN5,SNX14,SOCS3,ST8SIA4,STAT3,SUCLG1,SYN1,TBC1D25,TBC1D4,TENM1,TERT,TGFB1,Tgtp1/Tgtp2,TJP1,TNFSF10,TPM3,TPP1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB,TUFM,UBC,UBE2K,UQCRQ,USP18,VEGFA,VEGFB,VRK3,XAF1,ZFHX3,ZFP36L1	1140 (17)	
CSF2	-4.313	cytokine	Inhibited	-6.841	7.76E-04	ABCA1,ADAM8,ADGRE5,ALOX5AP,APAF1,ARRB1,ATM,AURKA,BAX,BCL2L11,BID,CARD6,CASP1,CCNA2,CCR5,CCR7,CD180,CD28,CD38,CD69,CD74,CD8A,CDC20,CDCA2,CDKN1A,CDKN1B,CLCF1,CREB1,CSF1R,CTLA4,CXCR4,CYBB,EGR1,ERCC6L,EXO1,F2RL1,F2RL2,FCGR2B,FFAR2,FIGNL1,FOS,GABPA,GADD45GIP1,GCH1,GRK3,HDAC3,HLA-DQB1,HSPD1,HSPH1,ICOSLG/LOC102723996,IER3,IFNG,IL10,IL16,IL3RA,IRF2,IRF4,IRF5,ITGAM,JAK2,KIF11,LY75,MAEA,MAT2A,MCM3,MDM2,MLH1,NACA,NCAPD2,NR1H3,NR4A1,NR4A2,NRP1,NUAK2,NUSAP1,ODC1,PDE1B,PIK3CG,PIM1,PIM2,POLD1,PPIF,PPP1R15A,PRC1,PROZ,PTGS2,QSOX1,RAD51,RBBP4,RHOH,RIPK2,RRM2,SERPINB9,SGK1,SLC11A2,SLC30A7,Slfn2,SMC2,SOCS3,SPAG5,SPC25,SPP1,TCF4,TGFB1,THBS1,TICAM1,TICRR,TLR1,TNFAIP3,TNFRSF1B,TNFRSF9,UHRF1,UTP11,ZFP36	1145 (20)	
CD40LG	-13.674	cytokine	Inhibited	-7.435	6.10E-11	ADAM17,AHR,AKAP2,ALCAM,ANXA6,ANXA7,ASCC3,ATF3,AUH,B2M,BAX,BCAT2,BCL6,BIRC2,BTG1,CASP1,CAST,CCNG2,CCR5,CCR7,CD27,CD38,CD69,CD8A,CDKN1A,CDKN1B,CLNS1A,CLUH,CXCR4,DAPP1,DUSP1,DUSP2,DUSP5,E2F2,EGR1,EIF2A,EIF2AK2,EIF2S1,FASLG,FBL,FCGR2B,FOS,FOSB,FOSL2,FSCN1,GCH1,GPR183,HDDC2,HK2,HLA-DQA1,HLA-DQB1,HSP90AA1,HSPA1A/HSPA1B,ICOSLG/LOC102723996,IFIT1,IFIT2,IFIT3,IFNG,IL10,IL12RB1,IL1RAP,IL3RA,IRF2,IRF4,ISG15,ITGAM,ITPA,JAK2,JUNB,KIF2A,LMAN2,METAP1,MIF,MRE11,MSH2,NAMPT,NAP1L1,NCOA3,NFKBIB,NR4A3,PIM1,PKMYT1,PMVK,POLA1,PREPL,PRKDC,PRR3,PSMB8,PSMB9,PTGS2,PTPRG,RAB9A,RAD50,RCC1,REL,RGS1,RGS2,RIDA,RNF5,SELL,SELP,SEMA4D,SLAMF1,SLC29A1,SMG7,SNX4,SPHK2,STAT3,STAT4,TANK,TFAP4,TFRC,TGIF1,TICAM1,TNFAIP3,TNFRSF13C,TNFSF10,TNPO1,TRAF4,TUBB,UCHL3,VEGFA,XPO7,XRCC5,XRCC6,ZFP36L1,ZZZ3	1062 (18)	
IL2	-104.765	cytokine	Inhibited	-7.119	4.31E-09	ABCA1,ABCB4,ABCC1,ACVR2A,ADAM8,AHR,ATM,BAX,BCL6,BHLHE40,CARD6,CASP1,CASP3,CCND2,CCNE1,CCNE2,CCNG2,CCR5,CCR7,CCR8,CD160,CD247,CD274,CD28,CD38,CD3D,CD3G,CD69,CD8A,CD9,CDK4,CDK5R1,CDKN1A,CDKN1B,CREB1,CRMP1,CSF1R,CSRNP1,CTLA4,CTPS1,CXCL3,CXCR4,CXCR6,CYCS,DAPK1,DAPK2,DARS2,DENND2D,DKC1,DUSP2,DUSP5,DUSP7,EMP1,EXOSC9,FASLG,FOS,GADD45B,GARS,GART,GATA3,GCNT1,GFRA2,GNAQ,GZMA,GZMK,HCST,HIST1H1C,HK2,HSPA1A/HSPA1B,HSPA5,HSPD1,IDI1,IER3,IFNG,IFNGR2,IKZF4,IL10,IL12RB1,IL12RB2,IL18R1,IL4R,IRF4,ISG20,ITGA1,ITK,JAK2,KLF6,KLK8,KLRC1,KLRD1,LDLR,LIF,LRMP,Ly6a (includes others),LY6E,MAP2K1,NAB2,NDRG1,NDUFA12,NIFK,NME1,PAX5,Pcmt1,PDCD1,PDCD2L,PDE3B,PELI1,PHB2,PIM1,PIM2,PLA2G2D,POLR1B,POLR2D,POLR3K,PPP6C,PRF1,PRKX,PTGS2,PTPN6,PTPRC,PTPRJ,PTRH2,RGS2,RHOB,RHOC,RNF128,RPL10,RPL21,RPS6KA5,RREB1,RUFY1,RXRA,SELL,SELP,Serpina3g (includes others),SERPINB9,SESN1,SLAMF1,SOCS3,SOS1,SPP1,STAM,STAT3,STAT4,STK17B,TBX21,TGFB1,TGFBR1,TNFAIP8,TNFRSF12A,TNFRSF13C,TNFRSF1B,TNFRSF9,TNFSF10,TP53RK,TRIB2,UCK2,UGP2,UMPS,Usp17la (includes others),VEGFA,ZHX1	1107 (18)	
PPARGC1A	-18.707	transcription regulator	Inhibited	-3.657	1.63E-02	ACADM,ACOX1,ALAS1,ATP5J2,BAX,BCAT2,BDH1,CAT,CD68,CDKN1A,COX4I1,COX7B,CS,CYCS,DGAT1,DR1,GABPA,GOT2,GSK3B,HK2,HMGCL,IDH3A,IL10,IMPA1,INSIG1,IRS2,ITGB1BP1,LDLR,LIPA,MCM3,MCM4,MITF,MSMO1,MT-CO1,MT-CO2,NCEH1,NDUFB5,NDUFS1,NDUFS8,NDUFV2,NR1H3,OXCT1,PDK2,PHYH,PIK3R1,PRDX3,PTGS2,RXRA,SCO2,SDHA,SESN2,SIRT3,SOCS3,SPARCL1,SREBF1,TIGAR,TNFRSF12A,TXNRD2,UQCRFS1,VEGFA	 	
EGR2	-7.213	transcription regulator	Inhibited	-5.182	1.91E-03	ABCC1,BCL2L11,BCL6,CAST,CDKN1A,CHKA,CLCN2,CSF1R,CYP51A1,DGKA,EGR1,FASLG,FLOT2,FOS,GATA3,HMGCR,HSPA5,IFNG,IGF2,IL10,IL21,LAG3,MR1,NAB2,NSF,POLR2C,PPP2CA,PPP3CB,PPT2,PRKCD,RABGGTA,RALGAPA1,SLC12A2,SMAD1,SOCS3,TAOK1,TBX21,TFRC,Tgoln1,TNFSF10,TXNRD2,VEGFA,WBP4,ZNF519	891 (11)	
CD38	-1714.727	enzyme	Inhibited	-5.203	5.69E-03	ALDOA,ANXA6,APH1A,ASNS,ATP1B1,B4GALT7,BCL6,CCND2,CCNE1,CHST12,CRELD2,CRIP1,ERO1A,EVI5,GBP7,GPAM,HIGD1A,HMMR,LGALS3,MANF,MYADM,NABP1,NDRG1,NFIL3,NT5E,PAX5,PDK1,PGM1,PIM1,PPP3CB,PPP3CC,PSAT1,RPN1,S100A6,SAP30,SELL,Serpina3g (includes others),SLC2A1,SOCS3,TMED5,UCHL3,UCK2,ZCCHC18	730 (7)	
TGM2	-4.917	enzyme	Inhibited	-2.363	3.88E-02	ACSS2,BCL6,BTG2,CAD,CD74,CDCA7,CSRNP1,DAPK2,DDX60,FFAR2,GCA,GM2A,GTPBP10,HDAC3,IFIT1,IFIT2,IFIT3,IFNG,ITGAM,LY6E,MDN1,MORC2,MPP6,MYO9A,NLN,NPC2,OAS1,ORC3,PAK1,PARP14,PARP9,PIM1,PLSCR1,PNRC1,POR,RFLNB,RPF2,SAMD9L,SELL,SELP,SLFN5,SMPD1,SPP1,SRD5A3,SWT1,TAF4B,TGFB1,THBS1,TPCN1,TUBGCP5,UBA7,VHL,XAF1,ZNF146	 	
IRF7	-39.133	transcription regulator	Inhibited	-6.925	1.32E-04	BCL2L13,CD69,CMPK2,CTLA4,GBP3,HELZ2,IFI16,Ifi47,IFIT1,IFIT2,IFIT3,IRF5,IRF7,IRF8,IRGM,Irgm1,ISG15,ISG20,ITGAM,JAK2,Ly6a (includes others),Ms4a4b (includes others),Mx1/Mx2,NAMPT,NT5C3A,OAS1,Oasl2,PARP12,PARP14,PELI1,PHF11,PLSCR1,PSMB8,PSMB9,RIPK2,RTP4,SAMD9L,SAP30,Slfn1,STAT2,TDRD7,TMPO,TNFAIP8,TNFSF10,TREX1,Trim30a/Trim30d,UBA7,UBE2L6,USP18,XAF1,ZBP1,ZC3HAV1	463 (12)	
ATF6	-628.305	transcription regulator	Inhibited	-3.217	1.31E-02	ACOX1,AURKA,CHKA,CHKB,DAPK1,DNAJC3,FDPS,FOS,HMMR,HSPA5,LMAN1,MANF,PRDX2,RAN,RCAN1,SLC35B1,SRR,VEGFA,WBP1	 	
ERN1	-1.867	kinase	Inhibited	-4.032	2.09E-02	ARF4,ATF3,CAD,DGAT1,DGAT2,DNAJC3,EDEM1,ERO1A,GOT1,HOOK1,HSPA5,MVD,NARS,NR1H3,PDRG1,PIGA,PRKDC,SEC22B,SEC24D,SEL1L,SLC35B1,SLC7A1,SRP19,SRPRA,SSR3,ST14,STX5,SURF4,SYT11,TENM1,TMED3,VEGFA,WARS	 	
INS	 	other	Inhibited	-3.113	5.08E-02	ACADM,ACLY,ADAM10,ASPH,CAT,CDKN1A,COX4I1,CUL5,DUSP1,EGR1,EIF4E,ELK1,FOS,FOSB,FOSL2,GPAT4,HMGCR,HSPA5,IER3,IRS2,JUNB,MT-ND4,NR1H3,NR4A1,OGT,PLK2,PTGS2,SDHC,SELP,Slc25a1,SLC2A1,SMPD1,SREBF1,TGFB1,Tmsb4x (includes others),UGCG,VEGFA	 	
TP73	 	transcription regulator	Inhibited	-6.269	6.81E-03	ABCC1,ADAM10,ADAM17,ADAM19,ADAM23,ATF3,ATG2B,ATG5,ATG7,ATM,AUH,BAP1,BAX,BCL2L11,BHLHE40,BID,BIRC2,BLZF1,BMP7,BRAF,BTG2,CAMLG,CASP1,CASP2,CASP3,CCNG2,CDKN1A,CDKN1B,CLIP3,COX4I1,CXCL3,DDIT4,DHRS3,DUSP11,EGR1,ERCC2,ERCC5,FAM78B,FLOT2,G6PD,GPR137B,HSPA1A/HSPA1B,IDH2,IER3,IL4R,INPP4A,IRF5,KLHL21,LAPTM4A,LYZ,MDM2,MFAP3,MLH1,N4BP2L2,NAP1L3,PERP,PLK2,PNRC1,POLD2,PPP4R2,PRKDC,PTEN,PTP4A3,RAD17,RFX2,RFX3,SERPINB6,Serpinb6b,SHISA5,SPHK2,SPP1,TERT,TGFB1,THBS1,TNFRSF12A,TNFRSF1B,TPP1,UBL3,VAMP4,VEGFA,XRCC6,ZNF175	992 (15)	
DNMT3A	-1.016	enzyme	Inhibited	-3.069	3.41E-02	ABCD1,ADCY7,CD38,CSF1R,CXCR4,CYBB,ERO1A,GRB2,GRK3,IFNG,IL18R1,IRF5,ITGAV,KDM6B,MLH3,MYL4,NFATC3,P2RX7,PIK3C2B,PLD4,PPP3R1,PRKCI,PTGS2,PTPRC,RAP2B,S1PR1,SHC1,SOCS3,SPP1,ST14,TGFB1,TPCN1	 	
PIN1	-236.772	enzyme	Inhibited	-2.588	1.00E00	BAX,CCNE2,CDK10,CDKN1A,MAPK8,MDM2,PTGS2,TGFB1	 	
NFE2L2	-23227.662	transcription regulator	Inhibited	-7.022	7.17E-03	ABCB4,ABCC1,Acp5,ACTG1,AGPAT3,AHR,ALAS1,ALDOA,ATF3,ATF7,ATP6V0D2,BRCA1,Calm1 (includes others),CAT,CCT3,CD8B,CDKN1A,CLPP,CLPTM1L,COL4A2,CREG1,CXCL3,CYBB,DCTN3,DDX39B,DNAJB5,DNAJC3,DSTN,EIF2S1,ENTPD5,ERP29,ESD,FMO1,G6PD,GCLC,GNA11,GSPT1,GSR,GSTM1,GSTP1,HAX1,HERPUD1,HMOX1,HSP90AA1,HSPA9,IDE,IFNG,IFNGR2,IFRD1,IKBKG,IL10,IMPDH1,LGALS8,LY6E,MAFF,MAFG,MATK,MCFD2,MEF2C,MRPS18B,MSMO1,NARS,NCF1,NFE2L2,PGD,Pmaip1,PRDX1,PSAT1,PSMA1,PSMA6,PSMB5,PSMC1,PSMD11,PSMD13,PSMD14,PSMD5,PTGS2,RACK1,RAN,RARS,RPS16,S100A13,SEC23A,SERINC3,SHC1,SLC2A1,SLC35B1,SLC7A11,SOCS3,SREBF1,SYT1,TCN2,TGFB1,TMED2,UBC,UBE2K,UGDH,USP14,VEGFA	951 (15)	
APCS	 	other	Inhibited	-2.000	8.29E-03	FCGR2A,FCGR2B,IFNG,IL10,LDLR	437 (7)	
HNF4A	 	transcription regulator	Inhibited	-3.365	1.49E-38	AAR2,ABCB9,ABCF3,ABHD6,ACAA2,ACBD6,ACD,ACLY,ACOT13,ACOX1,ACSL1,ACSS2,ACTR3,ACTR5,ADCY7,ADPRH,ADRB2,ADSS,AGA,AGPAT1,AGTPBP1,AIP,AK2,AKIRIN2,AKR1B1,ANKRA2,ANKZF1,ANXA5,AP4B1,APEH,APH1A,ARMC1,ARMC8,ARMT1,ASAH1,ASB3/GPR75-ASB3,ATAD5,ATF7,ATG3,ATG9A,ATOX1,ATP6V1D,ATP7A,AZI2,BAG4,BARD1,BCL6,BDH1,BET1,BLOC1S6,BLZF1,BMP2K,BMP7,BNIP1,BPGM,BRD8,BSDC1,BTG1,BTRC,C11orf68,C12orf49,C14orf119,C2orf42,C2orf49,C5orf22,C9orf64,CAMK2D,CAP1,CASP2,CAT,CCDC82,CCNA2,CCNE1,CCNE2,CCNG2,CCNT1,CCP110,CD3EAP,CD55,CDC14A,CDC23,CDC45,CDCA7L,CDK5,CDKAL1,CDKN1A,CDKN1B,CDKN2AIPNL,CEP95,CETN2,CETN3,CFAP20,CHCHD2,CIAO1,CIR1,CLCN6,CLDND1,CLPTM1,CLPX,CLTA,CLYBL,CMC2,CNOT9,COASY,COPB1,COPZ1,COQ10B,COX7A2L,CRAT,CREBL2,CRIP1,CRIPT,CRKL,CROT,CRYZL1,CS,CTDNEP1,CTDSPL2,CTSA,CTSB,CTSZ,CUL5,CXADR,CXCL3,CYLD,CYP51A1,DCAF11,DCAF13,DCK,DCTN4,DDX39B,DDX47,DDX49,DERL1,DHDDS,DHX35,DIABLO,DNAJA2,DNAJC14,DNAL1,DPH5,DPH6,DSCR3,DTL,DUSP11,DUSP16,EAF1,ECD,EGR1,EHD3,EHMT1,EIF1AD,EIF4ENIF1,ELL,ELP2,ELP3,ELP5,EMC2,EMG1,ENC1,EPM2AIP1,ERCC5,ERCC6,ERO1A,ETFDH,EXO1,EXOSC2,EXOSC5,FAM103A1,FAM107B,FAM46A,FBXO31,FDPS,FDX1,FEM1B,FEM1C,FH,FIG4,FKBP3,FLOT1,FMO1,FN3KRP,FOSL2,FOXJ3,FOXRED1,FUT11,FUT8,G6PC3,G6PD,GABPA,GALM,GBF1,GDAP2,GFER,GFM1,GHITM,GINS2,GINS3,GNAI3,GNG5,GOLT1B,GOT1,GPALPP1,GPANK1,GPC6,GPR160,GSK3B,GSPT1,GSTZ1,GTF2E1,GTF2H1,GTF3C5,GUSB,HADHA,HADHB,HDAC6,HEXA,HIF1AN,HIKESHI,HIRIP3,HIST1H2AD,HIST1H2BB,HIST1H2BG,HIST1H4B,HIST1H4K,HIST2H2AA3/HIST2H2AA4,HIST2H4A,HLA-F,HLA-G,HNRNPR,HOOK3,HPS5,HPS6,HSD11B1,HSD17B4,HSPA5,HSPA8,HSPH1,IFNAR1,IFT122,IL1RAP,IMMT,IMPA1,ING3,INTS13,INTS4,INTS7,INTS9,IPO13,ISOC2,ITGB3BP,JTB,JUNB,KBTBD4,KBTBD7,KIAA0141,KIF15,KLHL28,KLHL6,KLK14,KPTN,KRR1,LAMTOR2,LAMTOR5,LAPTM4A,LARP4,LARS2,LATS1,LDAH,LDLR,LGALS3,LIMS1,LIN7C,LIPA,LPGAT1,LRRC40,LSM3,LSM5,LYPLA2,MAIP1,MAT2A,MCCC1,MCM3,MDH1,MDM2,MFSD1,MGME1,MID1IP1,MIPEP,MIS12,MKRN1,MLH1,MOV10,MPP1,MRPL15,MRPL18,MRPL2,MRPL22,MRPL24,MRPL3,MRPL37,MRPL4,MRPL43,MRPL44,MRPL46,MRPL57,MRPS15,MRPS18B,MRPS21,MRPS27,MRPS28,MRPS35,MRPS7,MTHFS,MTMR4,MTR,MTRF1L,MUT,MYL6,N4BP2L2,NAA10,NAA38,NAA50,NAGA,NAMPT,NARS2,NAT10,NCAPD2,NCAPH2,NCBP2,NCK1,NCOA3,NCOA4,NDFIP1,NDRG1,NDUFA3,NDUFA4,NDUFA5,NDUFA7,NDUFB5,NDUFS1,NDUFS3,NDUFS4,NECAP1,NEDD8,NEURL2,NFE2L2,NLN,NME1,NME7,NOP16,NR1H2,NR1H3,NRAS,NSF,NUAK2,NVL,NXT2,OGFOD2,OPA1,OPA3,ORC1,ORC3,ORMDL1,OSBPL11,OSER1,OTUD7B,PAN2,PAPOLA,PARP9,PDCD10,PDK2,PDSS2,PERP,PEX12,PEX13,PEX3,PGM1,PGM3,PHB2,PHKB,PI4KB,PIGS,PITPNB,PJA2,PKN2,PLA2G2D,PLAA,PLD2,PLSCR1,PMS1,PNKP,POLB,POLL,POLR1B,POLR2A,POP5,POR,PPCS,PPFIBP1,PPIL1,PPIP5K2,PPP1R11,PPP1R3B,PPP2R3C,PPP2R5B,PPP4R1,PPP6C,PRAF2,PRCP,PRELID3B,PRMT7,PROZ,PRPF31,PRPS1,PRR14,PRR3,PSAT1,PSMA1,PSMB5,PSMD10,PTPN18,PTPRE,PTPRG,PWP1,PYGL,RAB10,RAB18,RAB2A,RAB33B,RABEPK,RAD17,RAD50,RAD51,RANGAP1,RAP2C,RARG,RASSF1,RBBP4,RBL2,RBM28,RBM41,RBM48,RBM6,RBM7,RDH11,REXO2,RFC5,RIOX2,RMI1,RMND1,RNF5,RNGTT,RNPEPL1,ROCK1,RORA,RPA2,RPAIN,RPAP3,RPL10,RPL18A,RPL31,RPL41,RPRD1B,RPS20,RPS6KA5,RRM1,RRP8,RSL24D1,RSPH3,RTCA,RTN4IP1,RXRA,SAMM50,SAP30BP,SCFD1,SDF2,SDR39U1,SEC11C,SEC23A,SEC24D,SEL1L,SELP,SENP1,SESN2,SF3B5,SGK1,SGSH,SHISA5,SIRT2,SLC25A32,SLC25A40,SLC30A7,SLC31A1,SLC35A3,SLC35B1,SLC35D1,SLC39A6,SLC39A9,SLC5A3,SLC7A6OS,SLIRP,SMARCA5,SMC2,SMDT1,SNRPD2,SNRPD3,SNX17,SP2,SPAST,SPCS3,SPP1,SPTSSA,SREBF1,SRP19,SRPRA,SRPRB,SRR,SSBP1,SSR2,SSR3,SSU72,STAM,STAM2,STAMBP,STARD7,STIM1,STK24,STOM,STOML2,STRAP,STT3A,STX17,STX18,SUCLA2,SUCLG1,SUPT3H,SUPT7L,SUPV3L1,TADA1,TAGLN2,TAPBPL,TAX1BP1,TBC1D17,TCF19,TDRD3,TENM4,TERF2IP,TEX10,TFAP4,TFB1M,TFRC,TIA1,TIMM10B,TIMM17A,TIMM17B,TM9SF2,TMA16,TMEM161A,TMEM208,TMEM258,TMEM30A,TMEM33,TMEM43,TMEM63A,TMEM87A,TMEM87B,TMF1,TMTC4,TMX2,TOR2A,TP53RK,TPCN1,TPRKB,TRAPPC13,TRAPPC3,TRAPPC8,TRIM23,TRIM41,TRMT112,TRMT1L,TRMT6,TROVE2,TSN,TSNAX,TTC19,TTC25,TTC37,TTI2,TUBB4A,TXNDC12,TXNDC9,TXNL1,UBE2B,UBQLN1,UCHL3,UCHL5,UMPS,UPF3B,USP30,USP36,UTP11,UTP14C,UTP3,VEZT,VPS29,VPS51,WBP4,WDR13,XPR1,XRCC4,XRCC5,YIF1A,ZBED3,ZDHHC6,ZFP36,ZFYVE19,ZKSCAN5,ZNF146,ZNF175,ZNF281,ZNF410,ZSCAN18	 	
FOXO1	-3.247	transcription regulator	Inhibited	-7.432	3.31E-06	ACLY,AIP,ALAS1,APAF1,ASPM,ATG14,Atp5e,ATP5G3,ATP5J,ATP6V0D2,ATP6V1D,BAX,BCL2L11,BCL2L13,BCL2L2,BID,CASP2,CAT,CCNA2,CCNG2,CCR7,CDKN1A,CDKN1B,CDKN2AIPNL,CERS4,COL4A1,COL4A2,COX10,CS,CYCS,DAPK1,DDIT4,DLGAP5,DNAJC19,EGR1,ELOVL5,FASLG,FDPS,FLNB,FOS,FOSB,GADD45B,GPAM,GPD2,GZMA,HMGCR,HMOX1,HSPA5,HSPD1,HUS1,HYOU1,IER3,IFNG,IKZF5,IL10RB,IRF5,IRS2,ITGAM,ITGAV,JUNB,KIF11,KIF18A,KLF4,LPIN2,MAVS,MFN1,MRPL45,MRPL46,MRPL57,MRPS18A,MRPS2,MRPS22,MRPS30,MRPS7,MVD,NAMPT,NCAPG,NDUFA12,NDUFA4,NDUFA7,NDUFA9,NDUFAF1,NDUFAF2,NUSAP1,PAK1,PAX5,PIK3IP1,PLA2G2D,PLSCR1,PPP1R15A,PRC1,PRCP,PRF1,PRKCD,PSMB8,PTEN,PTPRC,RBL2,RICTOR,RPS6KA3,SELL,SGK1,Slc25a1,SLC25A12,SLC25A22,SLC25A25,SLC25A30,SPC25,SPTLC2,SREBF1,STAT2,TAZ,TBX21,TGFB1,THBS1,TIMM44,TNFRSF9,TNFSF10,TNNT1,TSPO	1059 (16)	
NTRK2	 	kinase	Inhibited	-2.393	8.88E-03	BCL2L11,BID,CASP1,CCNA2,CCNE1,CCNE2,CDK4,DAPK1,DDX11,EGR1,FOS,PYCARD,SERTAD1,SPP1,SYN1,SYT1,TNFSF10,TP53BP2,VEGFA	1034 (14)	
