© 2000-2018 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Flags	Molecules	# Molecules
Cancer, Organismal Injury and Abnormalities	Growth of tumor	2.36E-05	 	-0.552	 	ABCG2,AHR,ANPEP,ANXA1,ATF3,C8orf44-SGK3/SGK3,CCDC88A,CD200,CD274,CD40,CD80,CD8A,CDH1,CDH17,CDKN2A,CEACAM1,CERS6,CREM,CSF3R,CTLA4,CXCR4,DUSP1,EEF1A1,EGR1,EGR3,EHF,ERBB2,ESR1,FAM129B,FCGR3A/FCGR3B,FHIT,FOS,GCH1,HPGD,HSPA1A/HSPA1B,HSPA5,HSPA8,HTATIP2,ID3,IFNG,IGF1R,IL15,IL18,IL4R,IRS1,JAG1,KLF6,KLK3,Klra7 (includes others),LIMA1,MCAM,MCRS1,Meg3,MEN1,MMP9,MYBL2,NAMPT,NOXO1,NR4A1,NR4A2,ODC1,PFKM,PLA2G4A,PLCE1,PLCL1,PLK3,PPARG,PTK2,RARB,SERPINF1,SLC3A2,SLC7A11,SLPI,SOCS3,TIMP2,TLE1,TNF,TNFSF13B,TRIM17,VCAN,VEGFA	81
Cell-To-Cell Signaling and Interaction	Interaction of blood cells	6.23E-05	 	-0.552	bias	ANXA1,C3,CALCB,CCR3,CD200,Cd24a,CD300LD,CD40,CD69,CD80,CD81,CDH1,CEACAM1,CFP,CLEC1B,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,F2RL3,F5,FCGR3A/FCGR3B,FES,GAB2,GP1BA,IFNG,IL15,IL18,ITGA2B,ITGAD,ITK,LILRB3,MARCO,MCAM,PENK,PER1,PILRA,PPARG,RGS1,SEMA3E,TNF,TNFRSF8,ULBP1,VEGFA	45
Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	Recruitment of leukocytes	5.81E-05	 	-0.551	bias	AHR,ANXA1,C3,CCR3,CCR8,CD19,CD200,CD274,CD40,CD5L,CD69,CD8A,CR2,CSF2RB,CXCR4,EGR1,FCGR3A/FCGR3B,FOS,GAB2,GP1BA,HSPA1A/HSPA1B,IFNG,IL15,IL18,IRF6,KDM6B,LY96,MMP9,Pde4d,PPARG,SIGLEC9,SLFN12L,SLPI,TFPI,TNF,TNFRSF8	36
Cancer, Organismal Injury and Abnormalities	Breast or colorectal cancer	3.21E-04	 	-0.547	 	ABCG2,ABLIM2,ACTN1,ACVR1,ADA,ADAM23,ADCK5,AFF1,AKAP7,ALAS2,AMPH,ANKRD35,ANKRD39,ANPEP,ANXA1,APH1A,ARHGAP28,ARMC3,ARMC6,ATF3,AUNIP,AXDND1,BANK1,BBS12,BCAR3,BCAT1,BCL11A,BCL2L2,BCO2,BHLHE40,C1orf146,C3,C7orf31,C8orf44-SGK3/SGK3,C9orf131,C9orf50,CACNA1E,CACNA2D4,CACNB3,CACNB4,CALCB,CAPN3,CARNS1,CBX4,CBY1,CCDC138,CCDC141,CCDC18,CCDC28A,CCDC73,CCDC88A,CD274,CD5L,CD69,CD79A,CD80,CD8A,CDC42BPB,CDH1,CDH23,CDKL2,CDKL5,CDKN2A,CEACAM1,CECR2,CENPX,CEP162,CEP290,CEP41,CEP72,CERKL,CFP,CHGB,CHRM3,CHRM4,CHRNE,CHST3,CIITA,CKAP4,CLCN2,CLEC12A,CLK1,CNKSR3,COL11A2,COL20A1,COQ10B,CORO2B,CPNE8,CR2,CREM,CSF2RB,CSF3R,CTLA4,CTU1,CUTC,CXCR4,CXorf57,CYP17A1,DCLRE1A,DCXR,DLG2,DMAP1,DNA2,DNAAF4,DNAH17,DNAJB2,DNAJB7,DNAJC28,DNASE1,DNASE1L3,DPAGT1,DPP7,DSCAM,DSCC1,DSG2,DSP,DTX4,DUSP1,DUSP2,DUSP22,DUSP5,DYNC2LI1,DYSF,EBF1,EEF1A1,EGR1,EGR3,ELMO3,ELOVL7,ENGASE,ENPP2,ENPP6,ERBB2,ESR1,ETS2,EVPL,EXOC1,F2RL3,FAH,FAM124B,FAM78B,FAM91A1,FANCA,FCGR3A/FCGR3B,FCGRT,FFAR2,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,FOSL2,FSCN1,GAB2,GADD45B,GALK1,GALNT9,GALR2,GARNL3,GCH1,GDAP1L1,GEN1,GFOD2,GGT1,GP1BA,GP2,GPM6B,GPR22,GPR83,GRHL1,GSTM5,GTSE1,GUCY1A3,HBA1/HBA2,HBB,HLA-A,HLA-DMB,HLA-F,HSP90AA1,HSPA5,HSPA8,HTATIP2,IFNG,IGF1R,IL13RA1,IL15,IL17C,IL18,IL4R,INPP4B,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGAD,ITPKB,JAG1,JCHAIN,JMY,JUNB,KANK3,KCNC1,KCNJ10,KCNJ13,KCNK6,KDM6B,KIAA1324,KIF13A,KIF19,KIF20A,KL,KLF12,KLF4,KLF6,KLK3,KSR2,LAD1,LCAT,LGALS4,LIMA1,LIN9,LINC02581,LIPE,LIPT1,LMLN,LMO1,LRP4,LRRC20,LRRC23,LRRC32,LSR,LYSMD1,MAGI1,MAP3K10,MAP3K15,MAP6,MAP7D2,MAP7D3,MATN2,MCAM,MCRS1,MCTP1,MELK,MEN1,MFHAS1,MGST2,MICAL3,MIER2,MIPOL1,MIS18BP1,MLF1,MMP9,MPI,MREG,MRPS18A,MT-CO1,MT-CO2,MT-CYB,MTTP,MYBL2,MYO18B,NACC2,NAMPT,NAT1,NDUFAF6,NEB,NEK4,NFIL3,NFIX,NHSL2,NLRC4,NOTCH4,NOXO1,NR4A1,NR4A2,NR4A3,NSUN7,NTHL1,NUCB2,NUDT22,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR5K1,OVGP1,PALLD,PARPBP,PARVA,PER1,PGBD1,PHKA1,PIK3R3,PILRA,PILRB,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLK3,PLXNB1,PMEPA1,PNRC1,PPARG,PPFIBP2,PPP1R16B,PRADC1,PRAM1,PRDM9,PRKCG,PRNP,PSMG3,PSTK,PSTPIP2,PTK2,PTPN14,PTPRM,QPRT,RAD51AP1,RARB,RASAL1,RBM44,RDH12,RDH5,RENBP,RGS1,RGS2,RNF14,RP2,RPH3AL,RPP40,RSPH3,RTL5,RUNDC3A,RYR1,SAMD4A,SBSN,SCN11A,SCN4A,SEC14L1,SELENBP1,SEMA3E,SEPT10,SERPINF1,SFMBT2,SH3TC1,SIGLEC9,SKIDA1,SKIL,SLC11A1,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC27A1,SLC38A2,SLC3A2,SLC40A1,SLC44A1,SLC7A11,SLFN12L,SLPI,SMCR8,SP9,SPIN4,SPIRE1,SPON1,SPTB,STAB2,STARD9,STON1,SUSD2,SYT1,SYTL1,TBCE,TCP11,TDO2,TEAD2,TENM1,TEX15,TFPI,TGFB1I1,TGIF1,TIMP2,TLR8,TMC3,TMC4,TMPRSS13,TNF,TNFRSF8,TNFSF13B,TRIAP1,TRIM17,TRIM2,TRIM6-TRIM34,TSEN15,TSHZ3,TTC30A,TTC39A,TTR,TUBB1,TUBB2B,TUBE1,TVP23A,UBC,UNC13B,UTP14C,VCAN,VEGFA,VIPR1,VPS37B,WDPCP,WDR34,WDR66,WWC1,YY2,ZBED5,ZBTB10,ZFP14,ZFP36L1,ZFP36L2,ZNF23,ZNF276,ZNF365,ZNF366,ZNF442,ZNF446,ZNF471,ZNF473,ZNF551,ZNF626,ZNF669,ZNF780A	438
Cellular Development, Cellular Growth and Proliferation, Tissue Development	Development of epithelial cells	1.02E-04	 	-0.529	bias	AHR,ASIP,CD40,CDH1,CLCN2,CXCR4,EPB41L5,ERBB2,ESR1,FOSL2,GNAO1,IFT74,JAG1,KLF4,MMP9,MYCL,PALLD,TIMP2,TNF	19
Humoral Immune Response, Protein Synthesis	Quantity of IgM	6.78E-06	 	-0.506	 	BANK1,BLNK,CD19,CD40,CD69,CD80,CD81,CIITA,CR2,EBF1,FCMR,GADD45B,IFNG,IL15,JCHAIN,MARCO,POU2AF1,PPARG,SIGLEC10,TNF	20
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	Progression of tumor	1.96E-05	 	-0.500	 	ANPEP,ANXA1,BLK,CD19,CD274,CD80,CDH1,CDKN2A,CSF2RB,CSF3R,CTLA4,CXCR4,CYP17A1,ERBB2,ESR1,FCGR3A/FCGR3B,FOS,HSP90AA1,IGF1R,IL18,ITK,MCAM,MMP9,PLCE1,PTK2,RARB,SEMA3E,SERPINF1,TNF,TUBB1,TUBE1,VEGFA	32
Humoral Immune Response, Protein Synthesis	Quantity of IgG2a	2.53E-05	 	-0.493	 	ATF3,BANK1,CD19,CD274,CD40,CD69,CD80,CR2,IFNG,IL4R,ITPKB,POU2AF1,RASGRP3,SIGLEC10,TIMD4,TNF	16
Cellular Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development	Maturation of leukocytes	3.45E-04	 	-0.488	bias	AHR,BLNK,CD19,CD40,CD69,CD80,CDH1,CXCR4,EGR1,FOS,HSPA1A/HSPA1B,IFNG,Ifnz (includes others),IL15,IL18,ITK,Klra7 (includes others),NFIL3,PRNP,SRSF2,Tlr11,TLR8,TNF,TNFSF13B,VEGFA	25
Humoral Immune Response, Protein Synthesis	Quantity of immunoglobulin	2.46E-08	 	-0.481	 	ATF3,BANK1,BHLHE40,BLNK,CD19,CD274,CD40,CD69,CD80,CD81,CDH17,CIITA,CR2,CSF2RB,EBF1,ESR1,FCGRT,FCMR,FCRLA,GADD45B,ID3,IFNG,IL13RA1,IL15,IL4R,IRAK3,ITK,ITPKB,JCHAIN,MARCO,MMP9,NFIL3,NFKBIZ,POU2AF1,PPARG,RASGRP3,RGS1,SIGLEC10,TIMD4,TNF,TNFSF13B	41
Cell Death and Survival	Apoptosis of myeloid cells	9.92E-05	 	-0.479	 	AHR,ANPEP,ANXA1,ATF3,BCL2L2,CD5L,CD69,CDKN2A,CXCR4,FOS,IFNG,IL15,IL18,IRAK3,MYBL2,NAMPT,PLA2G4A,PPARG,SERPINF1,SIGLEC9,SLPI,TNF,TNFRSF8	23
Cellular Function and Maintenance, Molecular Transport	Flux of ion	1.59E-05	 	-0.475	bias	ADA,ANXA1,C3,CCR3,CCR8,CD19,CD40,CD79A,CD81,CD8A,CHRM3,CHRM4,CTLA4,CXCR4,EGR1,ETS2,FCGR3A/FCGR3B,GPR15,HEBP1,IFNG,IL18,ITK,JUNB,KCNJ10,KL,KSR2,LILRB3,PENK,PRKCG,RGS2,RYR1,S1PR3,SCN4A,SLC17A5,SNCA,TNF,TNFRSF8,VEGFA	38
Cancer, Organismal Injury and Abnormalities	Growth of malignant tumor	1.17E-04	 	-0.473	 	ABCG2,C8orf44-SGK3/SGK3,CD200,CD274,CD40,CD80,CDH1,CDKN2A,CEACAM1,CSF3R,CTLA4,CXCR4,DUSP1,EEF1A1,EGR1,EGR3,ERBB2,ESR1,FHIT,FOS,HPGD,ID3,IFNG,IGF1R,IL15,IL18,IRS1,JAG1,KLK3,MCAM,MCRS1,Meg3,MEN1,MMP9,NR4A1,NR4A2,ODC1,PLCE1,PPARG,RARB,SOCS3,TLE1,TNF,TRIM17,VEGFA	45
Cellular Function and Maintenance, Molecular Transport	Flux of inorganic cation	1.05E-04	 	-0.460	bias	ANXA1,C3,CCR3,CCR8,CD19,CD40,CD79A,CD81,CD8A,CHRM3,CTLA4,CXCR4,EGR1,ETS2,FCGR3A/FCGR3B,GPR15,HEBP1,IL18,ITK,JUNB,KCNJ10,KL,KSR2,LILRB3,PENK,PRKCG,RGS2,RYR1,S1PR3,SCN4A,SNCA,TNF,TNFRSF8,VEGFA	34
Cell-To-Cell Signaling and Interaction	Binding of blood cells	9.87E-05	 	-0.451	bias	ANXA1,C3,CALCB,CCR3,CD200,Cd24a,CD300LD,CD40,CD69,CD81,CDH1,CEACAM1,CFP,CLEC1B,CR2,CSF2RB,CSF3R,CTLA4,CXCR4,F2RL3,F5,FCGR3A/FCGR3B,FES,GAB2,GP1BA,IFNG,IL15,IL18,ITGA2B,ITGAD,ITK,LILRB3,MARCO,MCAM,PENK,PER1,PILRA,PPARG,RGS1,SEMA3E,TNF,TNFRSF8,ULBP1,VEGFA	44
Cancer, Organismal Injury and Abnormalities	Carcinoma	1.84E-08	 	-0.441	 	ABCG2,ABLIM2,ACAD8,ACTG2,ACTN1,ACVR1,ADA,ADAM23,ADAMDEC1,ADCK5,AFF1,AFG1L,AHR,AIF1,AKAP7,ALAS2,ALG6,ALG8,ALKBH2,AMD1,AMPH,ANGEL1,ANKRD13B,ANKRD29,ANKRD35,ANKRD39,ANPEP,ANXA1,APH1A,APOBEC2,ARHGAP22,ARHGAP28,ARHGEF9,ARMC3,ARMC6,AS3MT,ASB7,ASIP,ATF5,ATP6V0D2,AUNIP,AXDND1,B4GALT4,B9D2,BANK1,BBS10,BBS12,BCAR3,BCAT1,BCDIN3D,BCL11A,BCO2,BHLHE40,BHMT2,BLK,BLNK,BNIP3,BORA,BUD23,C14orf93,C1orf123,C1orf146,C1orf159,C3,C6,C7orf31,C8orf44-SGK3/SGK3,C9orf131,C9orf50,CACNA1E,CACNA2D4,CACNB1,CACNB3,CACNB4,CALCB,CAMKK1,CAPN3,CARNS1,CARS2,CBR4,CBX4,CBY1,CCDC112,CCDC138,CCDC141,CCDC18,CCDC191,CCDC28A,CCDC73,CCDC88A,CCR3,CCR8,CD19,CD200,CD274,CD5L,CD69,CD79A,CD80,CD81,CDC42BPB,CDC42BPG,CDH1,CDH17,CDH23,CDK14,CDKL2,CDKL5,CDKN2A,CEACAM1,CECR2,CELA1,CENPH,CENPX,CEP162,CEP290,CEP41,CEP72,CERKL,CFP,CHAD,CHGB,CHML,CHRM3,CHRM4,CHRNB1,CHRNE,CHST15,CHST3,CIITA,CKAP4,CLCN2,CLEC12A,CLEC1B,CLEC9A,CLK1,CNGA1,CNKSR3,COL10A1,COL11A2,COL20A1,COQ10B,CORO2B,COX6A2,CPNE2,CPNE7,CPNE8,CR2,CREM,CSF2RB,CSF3R,CSRNP1,CSRP2,CTLA4,CTU1,CUTC,CXCR4,CXorf57,CYP17A1,CYP2R1,Cyp4f17,DBNDD2,DCAKD,DCLRE1A,DCXR,DENND4A,DGKI,DLG2,DMAP1,DMPK,DNA2,DNAAF4,DNAH17,DNAJB2,DNAJB7,DNAJC28,DNASE1,DNASE1L1,DNASE1L3,DOCK7,DOHH,DOK3,DPAGT1,DPCD,DPP7,DPYSL5,DSCAM,DSCC1,DSG2,DSP,DTWD2,DTX4,DUSP1,DUSP12,DUSP2,DUSP22,DUSP5,DYNC2LI1,DYNLT1,DYSF,EBF1,EEF1A1,EFCAB2,EFCAB9,EGR1,EGR3,EHF,ELMO3,ELOVL4,ELOVL7,ENDOG,ENGASE,ENKD1,ENOX2,ENPP2,ENPP6,EPHA1,ERBB2,ERVFRD-1,ESR1,ETS2,EVC2,EVPL,EXOC1,EXTL2,F2RL3,F5,FABP3,FAH,FAM114A1,FAM124B,FAM129B,FAM184A,FAM71B,FAM78B,FAM83H,FAM91A1,FANCA,FANCL,FBXL4,FCGR3A/FCGR3B,FCGRT,FCRLA,FES,FFAR2,FGD2,FHIT,FILIP1,FMN1,FOS,FOSB,FOSL2,FSCN1,GAB2,GADD45B,GADL1,GALK1,GALNT14,GALNT9,GALR2,GARNL3,GATM,GBP6,GCH1,GCNT2,GDAP1L1,GEN1,GFOD2,GGT1,GK5,GNAO1,GP1BA,GP2,GPM6B,GPR146,GPR22,GPR63,GPR83,GRHL1,GRHPR,GSTM5,GSTT2/GSTT2B,GTSE1,GUCY1A3,HBA1/HBA2,HBB,HCN3,HEPACAM2,HEXIM1,HHEX,HLA-A,HLA-DMB,HLA-DOB,HLA-F,HPGD,HSF4,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPA8,HTATIP2,ID3,IER5L,IFIT1B,IFNG,IFT57,IFT74,IFT88,IGF1R,IL13RA1,IL15,IL18,IL1R2,IL1RL2,IL4R,INPP4B,IPP,IQCG,IRAK3,IRF6,IRS1,IRS2,ISG20,ISPD,ITGA2B,ITGA3,ITGAD,ITK,ITPKB,JAG1,JAKMIP2,JAZF1,JCHAIN,JMY,JRKL,JUNB,KANK3,KCNA2,KCNB1,KCNC1,KCNJ10,KCNJ13,KCNK6,KDELC1,KDM6B,KIAA0513,KIAA1324,KIAA1841,KIF13A,KIF19,KIF20A,KIF9,KL,KLF12,KLF4,KLF6,KLK3,KMO,KREMEN2,KRTCAP3,KSR2,KYNU,L2HGDH,LAD1,LAPTM4B,LCAT,LGALS4,LILRB3,LIMA1,LIN9,LINC02581,LIPE,LIPT1,LMBR1,LMLN,LMO1,LRP4,LRRC20,LRRC23,LRRC32,LRRC39,LRRN3,LSM7,LSR,LY96,LYRM2,LYSMD1,MAFF,MAGI1,MAP3K10,MAP3K13,MAP3K15,MAP6,MAP7D2,MAP7D3,MARCH1,MARCO,MARS2,MARVELD2,MASTL,MATN2,MCAM,MCRS1,MCTP1,MED18,Meg3,MELK,MEN1,MFHAS1,MFSD2A,MFSD6,MICAL3,MIER2,MIPOL1,MIS12,MIS18BP1,MLF1,MLST8,MMACHC,MMP9,MOBP,MPI,MPP2,MREG,MRPL16,MRPS18A,MSL3,MT-CYB,MTTP,MTX3,MYBL2,MYCL,MYO18B,MYO1H,MYPOP,NACC2,NADSYN1,NAMPT,NAT1,NCCRP1,NCKIPSD,NCMAP,NDST2,NDUFAF6,NEB,NEK4,NEU3,NFIL3,NFIX,NFKBID,NFKBIZ,NHSL2,NLRC4,NMRAL1,NOTCH4,NR1H3,NR4A1,NR4A2,NR4A3,NSUN7,NTHL1,NUCB2,NUDT22,NUDT7,NXPE4,OAS1,OBSCN,ODC1,OR5K1,OVGP1,OXLD1,OXNAD1,PABPC1L,PALLD,PAQR4,PARPBP,PARVA,PAX5,PDE6D,PENK,PER1,PFKFB4,PFKM,PGBD1,PHKA1,PIK3R3,PILRA,PILRB,PLA2G4A,PLA2G7,PLAG1,PLCE1,PLCL1,PLIN4,PLK2,PLK3,PLXNB1,PMEPA1,PNPLA8,PNRC1,POU2AF1,PPARG,PPFIBP2,PPP1R15A,PPP1R16B,PPP1R3B,PRADC1,PRAM1,PRDM9,PRDX4,PRKCG,PRNP,PROZ,PRSS53,PSMG3,PSTK,PSTPIP2,PTGES3L,PTK2,PTPN14,PTPRM,PTRH1,PYCR3,PYGL,QPRT,RAB27B,RAD51AP1,RAP1GAP2,RAP2B,RARB,RASAL1,RASGRP3,RBM44,RDH12,RDH5,REEP2,RENBP,RFC3,RFTN2,RGL1,RGS1,RGS11,RGS2,RMDN1,RNF14,RP2,RPH3AL,RPL13A,RPL18A,RPP40,RPUSD3,RSPH1,RSPH3,RTKN,RTL5,RTP4,RUNDC3A,RYR1,S1PR5,SAMD4A,SBSN,SCD,SCIMP,SCN11A,SCN4A,SEC14L1,SEC31B,SEC61A2,SELENBP1,SEMA3E,SEPT10,SERPINB9,SERPIND1,SERPINF1,SFMBT2,SGPP2,SH3TC1,SHPK,SIGLEC10,SIGLEC9,SIMC1,SKAP2,SKIDA1,SKIL,SLAMF6,SLC11A1,SLC16A2,SLC17A5,SLC17A9,SLC25A13,SLC25A14,SLC25A33,SLC25A35,SLC26A6,SLC27A1,SLC35F6,SLC38A2,SLC3A2,SLC40A1,SLC44A1,SLC7A11,SLFN12L,SLPI,SLX1A/SLX1B,SMCR8,SMUG1,SNCA,SNX32,SOCS3,SORBS3,SP9,SPATA24,SPIN4,SPIRE1,SPO11,SPON1,SPTB,STAB2,STARD9,STOM,STON1,STOX1,STRADB,STYK1,SUSD2,SUSD4,SYT1,SYTL1,TBCE,TCEANC,TCP11,TDO2,TEAD2,TENM1,TEX15,TEX261,TFPI,TGFB1I1,TGIF1,TGM1,TIFA,TIFAB,TIMD4,TIMM21,TIMP2,TJP1,TLE1,TLR8,TMC3,TMC4,TMCC2,TMCC3,TMEM126B,TMEM185A,TMEM19,TMEM231,TMEM255A,TMEM51,TMEM69,TMEM91,TMIE,TMPRSS13,TNF,TNFAIP3,TNFRSF25,TNFRSF8,TNFSF13B,TNFSF4,TNS2,TOB2,TPMT,TRADD,TRAPPC6A,TRDMT1,TRIM17,TRIM2,TRIM6-TRIM34,TRIM68,TRMT11,TSC22D2,TSEN15,TSHZ3,TSPAN33,TSPAN4,TSSC4,TTC23,TTC25,TTC30A,TTC39A,TTR,TTYH1,TUBB1,TUBB2B,TUBE1,TVP23A,UBC,ULBP1,UNC13B,USP46,UTP14C,VCAN,VEGFA,VIPR1,VPS37B,WDFY2,WDPCP,WDR34,WDR66,WDYHV1,WFIKKN2,WWC1,XK,YDJC,YY2,ZBED5,ZBP1,ZBTB10,ZBTB34,ZDHHC13,ZFAND2A,ZFP14,ZFP36L1,ZFP36L2,ZFR2,ZFYVE1,ZNF202,ZNF23,ZNF248,ZNF276,ZNF296,ZNF365,ZNF366,ZNF442,ZNF446,ZNF471,ZNF473,ZNF518B,ZNF551,ZNF606,ZNF626,ZNF655,ZNF667,ZNF669,ZNF780A,ZNF8,ZPBP	746
